DateTime,Entries,UniqueIPs
1516831447,29848,29848
1516846346,29852,29852
1516860965,29864,29864
1516875617,29870,29870
1516890258,29880,29880
1516904903,29894,29894
1516919786,29899,29899
1516934422,29909,29909
1516949050,29920,29920
1516963930,29927,29927
1516978571,29934,29934
1516993464,29939,29939
1517008595,29950,29950
1517023461,29952,29952
1517038086,29958,29958
1517052744,29957,29957
1517067402,29963,29963
1517082255,29965,29965
1517096897,29967,29967
1517111555,29969,29969
1517126171,29973,29973
1517141066,29976,29976
1517155708,29980,29980
1517170352,29986,29986
1517184987,29989,29989
1517199609,29998,29998
1517214256,30017,30017
1517229135,30027,30027
1517244021,30036,30036
1517258659,30043,30043
1517273293,30046,30046
1517287939,30049,30049
1517302589,30054,30054
1517317218,30065,30065
1517331854,30066,30066
1517346731,30073,30073
1517361624,30076,30076
1517376248,30084,30084
1517391145,30092,30092
1517405767,30094,30094
1517420408,30102,30102
1517435048,30112,30112
1517449710,30118,30118
1517464324,30119,30119
1517478970,30130,30130
1517493643,30135,30135
1517508258,30141,30141
1517522894,30152,30152
1517537536,30154,30154
1517552171,30155,30155
1517566805,30162,30162
1517581458,30166,30166
1517596106,30172,30172
1517610979,30177,30177
1517625855,30181,30181
1517640488,30183,30183
1517655372,30188,30188
1517670262,30192,30192
1517684914,30194,30194
1517699778,30198,30198
1517714418,30205,30205
1517729297,30207,30207
1517743928,30218,30218
1517758570,30222,30222
1517773205,30230,30230
1517788109,30235,30235
1517802748,30241,30241
1517817627,30256,30256
1517832513,30269,30269
1517847378,30284,30284
1517862025,30297,30297
1517876903,30299,30299
1517891530,30304,30304
1517906180,30315,30315
1517921053,30319,30319
1517935688,30324,30324
1517950582,30331,30331
1517965210,30335,30335
1517979855,30342,30342
1517994734,30348,30348
1518009365,30349,30349
1518024014,30356,30356
1518038661,30358,30358
1518053304,30360,30360
1518067940,30368,30368
1518082576,30371,30371
1518097209,30377,30377
1518111862,30384,30384
1518126509,30389,30389
1518141131,30395,30395
1518155777,30399,30399
1518170416,30403,30403
1518185052,30407,30407
1518199930,30417,30417
1518214830,30420,30420
1518229451,30432,30432
1518244334,30439,30439
1518258968,30443,30443
1518273624,30443,30443
1518288254,30449,30449
1518303140,30452,30452
1518317785,30458,30458
1518332422,30459,30459
1518347049,30464,30464
1518361704,30474,30474
1518376592,30477,30477
1518391220,30481,30481
1518405865,30489,30489
1518420745,30498,30498
1518435394,30502,30502
1518450264,30514,30514
1518464885,30527,30527
1518479554,30530,30530
1518494169,30541,30541
1518508829,30547,30547
1518523471,30560,30560
1518538341,30565,30565
1518553221,30568,30568
1518567757,30576,30576
1518582498,30580,30580
1518597379,30586,30586
1518612014,30590,30590
1518626657,30594,30594
1518641296,30603,30603
1518656171,30607,30607
1518670819,30611,30611
1518685692,30620,30620
1518700579,30628,30628
1518715212,30632,30632
1518729851,30639,30639
1518744743,30643,30643
1518759608,30646,30646
1518774496,30652,30652
1518789135,30654,30654
1518803772,30655,30655
1518818658,30659,30659
1518833786,30664,30664
1518848425,30664,30664
1518863047,30672,30672
1518877942,30676,30676
1518892818,30682,30682
1518907450,30687,30687
1518922095,30688,30688
1518936743,30690,30690
1518951624,30692,30692
1518966500,30692,30692
1518981145,30693,30693
1518996572,30696,30696
1519011128,30696,30696
1519026014,30703,30703
1519040656,30704,30704
1519055535,30709,30709
1519070173,30720,30720
1519084833,30724,30724
1519099707,30736,30736
1519114338,30739,30739
1519129487,30749,30749
1519144344,30755,30755
1519158973,30762,30762
1519173627,30766,30766
1519188260,30769,30769
1519202895,30776,30776
1519217547,30779,30779
1519232183,30785,30785
1519246814,30789,30789
1519261709,30792,30792
1519276577,30794,30794
1519291701,30798,30798
1519306349,30812,30812
1519320988,30817,30817
1519335866,30827,30827
1519350729,30831,30831
1519365390,30834,30834
1519380272,30838,30838
1519394889,30844,30844
1519409543,30852,30852
1519424179,30856,30856
1519438805,30859,30859
1519453465,30862,30862
1519468085,30867,30867
1519482739,30874,30874
1519497374,30880,30880
1519513718,30884,30884
1519528329,30885,30885
1519542975,30886,30886
