DateTime,Entries,UniqueIPs
1515384617,2177,2177
1515399018,2183,2183
1515413416,2270,2270
1515427817,2323,2323
1515442220,2386,2386
1515456619,2472,2472
1515471019,2440,2440
1515485419,2702,2702
1515499819,3023,3023
1515514221,3145,3145
1515528625,3148,3148
1515543020,3146,3146
1515557420,3080,3080
1515571820,3095,3095
1515586221,3141,3141
1515600623,3193,3193
1515615020,3227,3227
1515629420,3233,3233
1515643820,3146,3146
1515658220,3092,3092
1515672619,2856,2856
1515687020,3236,3236
1515701423,3317,3317
1515715823,3313,3313
1515730219,3219,3219
1515744621,3165,3165
1515759020,3140,3140
1515773420,3140,3140
1515787820,3214,3214
1515802220,3190,3190
1515816621,3095,3095
1515831020,3023,3023
1515845420,2950,2950
1515859820,2910,2910
1515874221,2956,2956
1515888622,2955,2955
1515903020,2883,2883
1515917419,2796,2796
1515931819,2745,2745
1515946219,2705,2705
1515960618,2724,2724
1515975018,2772,2772
1515989419,2783,2783
1516003819,2844,2844
1516018220,2886,2886
1516032619,2792,2792
1516047020,2809,2809
1516061419,2810,2810
1516075819,2814,2814
1516090220,2840,2840
1516104619,2845,2845
1516119019,2700,2700
1516133419,2983,2983
1516147826,2986,2986
1516162228,2930,2930
1516176633,2530,2530
1516191032,2940,2940
1516205433,2954,2954
1516219840,2984,2984
1516234237,2971,2971
1516248636,2947,2947
1516263036,2914,2914
1516277437,2967,2967
1516291830,2945,2945
1516306228,2953,2953
1516320627,2927,2927
1516335026,2888,2888
1516349423,2794,2794
1516363818,2776,2776
1516378229,2807,2807
1516392621,2811,2811
1516407018,2815,2815
1516421417,2717,2717
1516435818,2647,2647
1516450219,2667,2667
1516464624,2668,2668
1516479024,2696,2696
1516493429,2674,2674
1516507818,2615,2615
1516522217,2540,2540
1516536617,2523,2523
1516551017,2511,2511
1516565426,2503,2503
1516579817,2521,2521
1516594217,2510,2510
1516608618,2496,2496
1516623017,2547,2547
1516637422,2614,2614
1516651823,2655,2655
1516666217,2719,2719
1516680622,2730,2730
1516695023,2748,2748
1516709418,2808,2808
1516723819,2869,2869
1516738220,2927,2927
1516752619,2958,2958
1516767019,2949,2949
1516781420,2914,2914
1516795819,2815,2815
1516810221,2804,2804
1516824624,2878,2878
1516839026,2844,2844
1516853437,2788,2788
1516867819,2709,2709
1516882221,2743,2743
1516896622,2751,2751
1516911023,2787,2787
1516925419,2779,2779
1516939823,2750,2750
1516954219,2774,2774
1516968619,2804,2804
1516983027,2761,2761
1516997422,2819,2819
1517011818,2863,2863
1517026219,2836,2836
1517040619,2789,2789
1517055021,2789,2789
1517069419,2786,2786
1517083823,2844,2844
1517098237,2855,2855
1517112621,2811,2811
1517127020,2745,2745
1517141418,2742,2742
1517155820,2726,2726
1517170226,2744,2744
1517184628,3072,3072
1517199020,3066,3066
1517213418,3024,3024
1517227820,3098,3098
1517242240,3102,3102
1517256627,3185,3185
1517271028,3211,3211
1517285419,3233,3233
1517299820,3220,3220
1517314221,3305,3305
1517328622,2996,2996
1517343020,2815,2815
1517357430,2868,2868
1517371820,2795,2795
1517386221,2747,2747
1517400621,2802,2802
1517415023,2825,2825
1517429587,2860,2860
1517443820,2855,2855
1517458220,2848,2848
1517472620,2819,2819
1517487020,2886,2886
1517501424,2986,2986
1517515822,3009,3009
1517530220,2981,2981
1517544625,2933,2933
1517559022,2861,2861
1517573421,2914,2914
1517587895,2917,2917
1517602222,2976,2976
1517616633,2951,2951
1517631031,2891,2891
1517645420,2803,2803
1517659821,2796,2796
1517674222,2505,2505
1517688619,2458,2458
1517703021,2464,2464
1517717424,2425,2425
1517731822,2408,2408
1517746220,2450,2450
1517760620,2602,2602
1517775020,2678,2678
1517789428,2756,2756
1517803819,2751,2751
1517818220,2874,2874
1517832620,3203,3203
1517847033,3381,3381
1517861438,3528,3528
1517875831,3672,3672
1517890228,3733,3733
1517904622,3786,3786
1517919023,3870,3870
1517933431,3933,3933
1517947831,4026,4026
1517962224,4123,4123
1517976626,4113,4113
1517991023,4079,4079
1518005424,4148,4148
1518019824,4166,4166
1518034232,4195,4195
1518048623,3952,3952
1518063023,4136,4136
1518077423,4036,4036
1518091823,4145,4145
1518106224,4148,4148
1518120623,4182,4182
1518135032,4206,4206
1518149422,4090,4090
1518163822,3979,3979
1518178222,4010,4010
1518192623,3985,3985
1518207027,4072,4072
1518221431,4085,4085
1518235821,4005,4005
1518250221,3831,3831
1518264622,3833,3833
1518279030,3729,3729
1518293432,3713,3713
1518307825,3658,3658
1518322236,3572,3572
1518336620,3402,3402
1518351020,3332,3332
1518365424,3255,3255
1518379819,3235,3235
1518394230,3241,3241
1518408618,3175,3175
1518423020,3140,3140
1518437420,3187,3187
1518451820,3246,3246
1518466230,3276,3276
