DateTime,AddedIPs,RemovedIPs
1521843638,0,3
1521853836,1,4
1521857437,1,5
1521862838,0,1
1521870038,0,3
1521871835,0,3
1521875437,2,2
1521879035,3,1
1521882637,1,2
1521886235,1,7
1521889838,1,0
1521893435,0,3
1521897036,2,0
1521898832,0,1
1521904232,0,1
1521907833,0,1
1521911430,3,1
1521915032,1,0
1521922830,29,0
1521926432,2,176
1521929430,7,0
1521933032,0,88
1521937233,43,287
1521940830,30,0
1521944431,8,6
1521948030,6,0
1521951033,4,1
1521954631,5,2
1521958234,4,1
1521962432,3,4
1521966029,1,0
1521969632,2,2
1521972632,0,3
1521976232,1,2
1521983432,0,5
1521990630,0,4
1521994232,1,2
1521997830,0,1
1522005672,0,3
1522009230,1,0
1522012232,1,0
1522015830,0,3
1522020032,0,1
1522023631,1,0
1522027232,1,4
1522030831,1,1
1522033833,0,1
1522046430,0,8
1522053630,0,1
1522057233,0,4
1522060832,0,2
1522064434,2,1
1522071631,1,0
1522075232,2,1
1522078831,0,4
1522083033,5,3
1522086631,1,0
1522090232,5,0
1522093230,3,0
1522097434,1,3
1522104033,1,0
1522111230,0,8
1522118430,0,4
1522126230,1,4
1522129232,1,0
1522132830,1,0
1522136433,1,1
1522140031,0,2
1522143633,0,2
1522147231,1,11
1522155031,1,0
1522158633,0,2
1522162231,3,0
1522165233,0,2
1522172433,1,3
1522176633,1,7
1522180230,1,0
1522183833,1,1
1522187431,1,4
1522194631,0,9
1522201830,1,2
1522205433,0,2
1522208431,1,6
1522212033,1,0
1522215630,1,0
1522223431,1,2
1522227034,1,3
1522230630,0,19
1522234233,1,1
1522241433,1,4
1522248633,0,4
1522259430,1,1
1522263033,2,1
1522266631,0,1
1522270232,1,1
1522273230,0,1
1522284629,3,7
1522288233,0,3
1522291830,0,2
1522295432,2,1
1522298429,0,27
1522302033,1,29
1522305629,0,107
1522308032,0,4
1522321830,0,1
1522326033,0,6
1522333232,2,0
1522336830,0,2
1522340432,1,4
1522344031,0,1
1522347633,0,3
1522351231,0,6
1522354833,2,0
1522358431,1,2
1522362033,0,2
1522365630,0,3
1522368634,2,2
1522372832,0,17
1522380031,2,4
1522383032,1,0
1522387233,0,191
1522398030,1,2
1522401633,1,5
1522404630,0,2
1522408833,0,9
1522419631,0,4
1522426830,0,1
1522429833,1,3
1522434033,1,9
1522441231,3,5
1522452032,3,3
1522455631,1,0
1522462841,0,7
1522469430,1,3
1522472432,0,111
1522479032,0,198
1522482630,0,7
1522485632,1,2
1522489230,0,6
1522497030,1,133
1522500034,1,2
1522503631,1,3
1522505432,0,2
1522509030,2,0
1522512632,0,9
1522516231,2,2
1522519832,1,0
1522521630,1,2
1522529430,0,1
1522533032,1,2
1522536630,2,1
1522539632,1,0
1522547430,1,8
1522551034,3,3
1522557631,8,3
1522561231,11,5
1522563032,3,1
1522566630,1,0
1522573830,2,5
1522578033,0,6
1522581631,2,0
1522585232,0,4
1522588231,1,3
1522599030,0,8
1522602633,0,3
1522606230,1,0
1522610433,1,4
1522614031,1,1
1522617033,1,0
1522624229,3,9
1522629032,2,2
1522635632,3,3
1522642232,0,4
1522645830,1,0
1522650032,0,3
1522657232,1,3
1522660830,2,2
1522664432,1,0
1522668030,1,2
1522675232,1,2
1522682432,1,2
1522685430,1,3
1522693232,2,7
1522696832,1,1
1522700431,0,2
1522704036,3,1
1522707030,2,2
1522711233,1,0
1522714231,0,1
1522718432,0,2
1522722031,2,2
1522725633,2,0
1522732232,1,1
1522735831,1,1
1522739432,0,1
1522743633,1,3
1522750833,0,6
1522753832,1,4
1522761030,0,4
1522768231,0,5
1522776030,1,1
1522779633,4,1
1522783231,0,2
1522786232,1,0
1522790433,1,4
1522794031,1,0
1522797632,3,0
1522801230,1,4
1522804832,2,0
1522808431,0,2
1522811432,3,1
1522815030,0,1
1522818633,0,3
1522826435,1,2
1522830030,1,1
1522833632,0,4
1522837231,0,1
1522840832,1,3
1522848031,0,4
1522851633,0,5
1522855231,1,2
1522858832,1,0
1522866633,1,3
1522873233,3,3
1522876831,0,3
1522884031,1,4
1522891230,1,2
1522894832,0,1
1522897830,0,4
1522901432,1,7
1522915831,1,4
1522920032,0,3
1522923631,3,0
1522930230,1,3
1522934433,1,1
1522941632,1,2
1522944631,0,2
1522948837,0,4
1522956030,5,1
1522959633,0,2
1522963231,0,3
1522966833,2,1
1522970430,0,3
1522977630,0,1
1522984230,0,5
1522989630,1,0
1522991432,1,0
1522995030,0,2
1522999233,2,3
1523006433,0,3
1523010030,0,2
1523013632,1,2
1523016633,0,1
1523020833,1,2
1523024430,2,0
1523027433,1,1
1523031031,0,1
1523038230,3,1
1523046032,0,2
1523053231,1,3
1523056832,1,0
1523060430,0,4
1523067630,1,2
1523071311,0,4
1523077232,0,1
1523079630,0,2
1523082632,1,0
1523085030,3,0
1523088633,1,0
1523092833,1,5
1523100032,0,4
1523103631,1,0
1523107233,0,4
1523113834,3,0
1523117430,0,1
1523121633,2,1
1523125272,16,0
1523128832,2,0
1523132431,0,2
1523136033,3,2
1523143232,1,3
1523146830,2,0
1523149832,0,2
1523157029,0,1
1523160632,1,0
1523164230,2,3
1523171430,0,4
1523178631,1,7
1523182233,1,0
1523187033,0,3
1523193632,0,9
1523200233,0,4
1523204433,0,1
1523218833,3,1
1523222431,2,2
1523226032,1,5
1523233231,2,0
1523236832,0,12
1523244033,0,2
1523247630,1,11
1523251232,0,1
1523254831,0,1
1523258432,2,4
1523262030,1,4
1523272831,1,1
1523276440,0,2
1523280030,0,1
1523290831,2,4
1523294433,1,2
1523301630,2,3
1523305233,1,0
1523308831,0,2
1523312432,1,1
1523316031,0,1
1523323230,1,2
1523329830,1,4
1523333432,1,3
1523337031,2,0
1523341233,0,32
1523348432,0,37
1523352032,0,27
1523355634,0,3
1523362833,0,5
1523365831,1,0
1523370033,0,2
1523373631,2,0
1523377232,0,2
1523384433,0,3
1523398831,1,0
1523403033,2,2
1523409632,2,0
1523413230,0,2
1523416832,1,0
1523424030,1,3
1523428268,9,5
1523431830,1,0
1523434832,1,0
1523438430,0,1
1523442033,1,0
1523445631,1,0
1523453430,2,7
1523456432,2,0
1523460031,0,2
1523463633,32,4
1523467232,52,0
1523475032,106,7
1523478633,8,0
1523485832,23,2
1523489434,10,6
1523493632,15,2
1523497230,4,0
1523500834,2,3
1523506233,4,1
1523511032,9,1
1523515233,12,2
1523520633,3,5
1523526034,4,3
1523531434,2,6
1523536834,1,2
1523542234,1,1
1523547634,2,0
1523552435,0,1
1523562034,1,2
1523566833,2,2
1523574031,4,0
1523577633,1,0
1523581833,0,1
1523587233,2,2
1523593232,1,2
1523598033,2,5
1523601631,6,0
1523607033,11,1
1523611234,18,6
1523616034,5,1
1523622034,8,1
1523626832,7,1
1523632234,6,4
1523637033,2,1
1523644230,5,2
1523651431,13,13
1523655033,4,1
1523659233,48,2
1523664632,10,6
1523668230,31,0
1523673032,3,6
1523676631,3,0
1523680233,2,2
1523683832,5,2
1523686833,2,1
1523691033,2,2
1523694631,1,0
1523698233,1,2
1523701831,3,4
1523706033,46,0
1523712034,13,3
1523716833,6,2
1523721634,4,4
1523725231,57,0
1523728833,5,1
1523733033,2,4
1523737834,7,0
1523745031,17,2
1523749833,5,1
1523754033,25,5
1523758233,2,0
1523763633,8,25
1523768434,2,44
1523775633,9,2
1523782831,4,3
1523787034,4,4
1523793034,2,6
1523797833,7,2
1523802634,5,1
1523806231,3,2
1523809834,1,4
1523813432,2,0
1523817634,3,3
1523823034,0,7
1523826631,4,0
1523832034,2,1
1523840434,10,3
1523850034,10,9
1523855433,3,1
1523860833,2,5
1523865634,4,22
1523869231,9,57
1523873433,3,4
1523878834,3,0
1523884233,1,4
1523887231,2,0
1523891433,0,1
1523895031,7,3
1523899834,0,1
1523903432,1,0
1523910633,4,3
1523914234,2,0
1523917832,2,1
1523921433,2,2
1523925031,5,4
1523929234,2,0
1523932831,3,3
1523938232,4,1
1523941830,1,0
1523944834,1,15
1523948431,1,0
1523952032,1,0
1523955631,0,40
1523959834,1,2
1523965233,1,4
1523974233,3,3
1523979033,1,0
1523982631,1,0
1523986833,4,4
1523990432,1,0
1523994033,1,0
1523997032,1,1
1524004232,2,1
1524008433,5,5
1524012031,5,0
1524016833,0,5
1524021033,4,8
1524025833,0,3
1524033033,0,2
1524036631,5,2
1524040834,2,3
1524045634,3,2
1524053431,9,1
1524058833,6,0
1524063633,1,178
1524067231,4,0
1524070834,1,12
1524074432,3,1
1524081632,8,8
1524085233,1,3
1524088831,0,2
1524092433,1,2
1524096032,1,0
1524099633,0,1
1524107432,0,87
1524111034,1,0
1524116433,1,154
1524119431,0,2
1524123034,0,0
1524127233,1,3
1524132634,1,3
1524136232,0,2
1524147033,0,3
1524157833,5,6
1524162633,2,5
1524170431,2,0
1524173434,1,4
1524177031,4,2
1524180634,0,3
1524184833,2,1
1524188431,3,0
1524193233,2,9
1524196831,0,1
1524204032,6,4
1524208233,0,2
1524213633,3,3
