DateTime,Entries,UniqueIPs
1522140031,5253,5299
1522143633,5251,5297
1522147231,5245,5291
1522151433,5244,5290
1522155031,5249,5295
1522158633,5247,5293
1522162231,5254,5300
1522165233,5253,5299
1522168830,5257,5303
1522172433,5254,5300
1522176633,5247,5292
1522180230,5253,5298
1522183833,5258,5303
1522187431,5255,5300
1522191033,5249,5294
1522194631,5239,5284
1522198232,5242,5287
1522201830,5235,5280
1522205433,5226,5271
1522208431,5224,5269
1522212033,5223,5268
1522215630,5226,5271
1522223431,5234,5279
1522227034,5239,5284
1522230630,5240,5285
1522234233,5091,5136
1522237831,4931,4976
1522241433,4712,4757
1522245030,4393,4438
1522248633,4086,4130
1522252231,4081,4125
1522255833,4084,4128
1522259430,4084,4128
1522263033,4085,4129
1522266631,4081,4125
1522270232,4082,4126
1522273230,4078,4122
1522276832,4084,4128
1522284629,4078,4122
1522288233,4080,4124
1522291830,4076,4119
1522295432,4078,4121
1522298429,4079,4122
1522302033,4069,4112
1522305629,4054,4097
1522308032,4055,4098
1522311631,4060,4103
1522314631,4058,4101
1522321830,4039,4082
1522326033,4023,4066
1522329630,4029,4072
1522333232,4033,4076
1522336830,4028,4071
1522340432,4032,4075
1522344031,4038,4081
1522347633,4029,4072
1522351231,4025,4068
1522354833,4022,4065
1522358431,4026,4069
1522362033,4028,4072
1522365630,4030,4074
1522368634,4035,4079
1522372832,3977,4020
1522380031,3921,3964
1522383032,3920,3963
1522387233,3901,3944
1522390830,3903,3946
1522394433,3903,3946
1522398030,3901,3944
1522401633,3906,3951
1522404630,3905,3950
1522408833,3907,3952
1522412431,3903,3948
1522419631,3905,3951
1522423233,3907,3953
1522426830,3908,3954
1522429833,3912,3958
1522434033,3906,3952
1522441231,3917,3963
1522444832,3911,3957
1522448431,3916,3963
1522452032,3912,3959
1522455631,3914,3961
1522462841,3909,3956
1522466432,3906,3953
1522469430,3904,3951
1522472432,3905,3952
1522475430,3903,3950
1522479032,3902,3949
1522482630,3899,3946
1522485632,3899,3946
1522489230,3897,3944
1522497030,3894,3941
1522500034,3433,3480
1522503631,3227,3273
1522505432,3225,3271
1522509030,3226,3272
1522512632,2890,2935
1522516231,2441,2485
1522519832,2427,2471
1522521630,2430,2474
1522529430,2431,2475
1522533032,2429,2473
1522536630,2429,2473
1522539632,2422,2466
1522547430,2427,2472
1522551034,2428,2473
1522554030,2426,2471
1522557631,2431,2476
1522561231,2436,2481
1522563032,2439,2484
1522566630,2444,2489
1522573830,2447,2492
1522578033,2442,2487
1522581631,2448,2493
1522585232,2448,2493
1522588231,2443,2489
1522591832,2445,2491
1522599030,2437,2483
1522602633,2438,2484
1522606230,2436,2482
1522610433,2442,2488
1522614031,2435,2481
1522617033,2438,2484
1522624229,2433,2479
1522629032,2432,2479
1522632030,2428,2475
1522635632,2432,2480
1522639230,2433,2481
1522642232,2423,2471
1522645830,2415,2463
1522650032,2403,2451
1522653631,2407,2455
1522657232,2416,2464
1522660830,2422,2470
1522664432,2425,2472
1522668030,2434,2481
1522671032,2426,2472
1522675232,2424,2470
1522678831,2431,2477
1522682432,2436,2482
1522685430,2439,2485
1522693232,2444,2490
1522696832,2445,2491
1522700431,2446,2492
1522704036,2449,2496
1522707030,2443,2490
1522711233,2439,2486
1522714231,2441,2488
1522718432,2434,2480
1522722031,2439,2485
1522725633,2441,2487
1522728630,2443,2489
1522732232,2441,2487
1522735831,2437,2482
1522739432,2433,2478
1522743633,2434,2479
1522747231,2429,2474
1522750833,2425,2470
1522753832,2418,2463
1522761030,2419,2464
1522768231,2416,2461
1522776030,2416,2461
1522779633,2418,2463
1522783231,2405,2450
1522786232,2413,2458
1522790433,2401,2446
1522794031,2408,2454
1522797632,2410,2456
1522801230,2408,2454
1522804832,2410,2456
1522808431,2407,2453
1522811432,2406,2453
1522815030,2407,2454
1522818633,2411,2457
1522822833,2400,2446
1522826435,2406,2452
1522830030,2398,2444
1522833632,2394,2440
1522837231,2391,2437
1522840832,2389,2435
1522848031,2385,2431
1522851633,2382,2428
1522855231,2377,2423
1522858832,2379,2425
1522862440,2381,2427
1522866633,2374,2420
1522870230,2377,2423
1522873233,2380,2426
1522876831,2374,2420
1522880435,2371,2417
1522884031,2364,2410
1522891230,2363,2409
1522894832,2358,2404
1522897830,2356,2403
1522901432,2360,2407
1522908631,2361,2408
1522915831,2355,2401
1522920032,2344,2390
1522923631,2351,2397
1522930230,2352,2398
1522934433,2345,2391
1522938031,2353,2399
1522941632,2349,2395
1522944631,2360,2406
1522948837,2364,2410
1522956030,2372,2418
1522959633,2378,2424
1522963231,2373,2419
1522966833,2360,2404
1522970430,2363,2407
1522974032,2361,2405
1522977630,2356,2400
1522984230,2354,2398
1522987233,2352,2396
1522989630,2353,2397
1522991432,2355,2399
1522999233,2345,2389
1523002830,2344,2388
1523006433,2338,2382
1523010030,2334,2378
1523013632,2339,2384
1523016633,2335,2380
1523020833,2329,2374
1523024430,2336,2381
1523027433,2331,2376
1523031031,2334,2379
1523038230,2335,2380
1523041832,2337,2382
1523046032,2323,2368
1523053231,2320,2365
1523056832,2323,2368
1523060430,2311,2356
1523067630,2307,2352
1523071311,2297,2342
1523074254,2290,2335
1523077232,2294,2339
1523079630,2292,2337
1523082632,2299,2344
1523085030,2303,2348
1523088633,2315,2361
1523092833,2302,2348
1523096431,2313,2359
1523100032,2316,2362
1523103631,2320,2365
1523107233,2317,2362
1523110830,2315,2361
1523113834,2318,2364
1523117430,2323,2369
1523121633,2311,2358
1523125272,2333,2380
1523128832,2329,2376
1523132431,2333,2380
1523136033,2339,2386
1523139631,2341,2388
1523143232,2341,2388
1523146830,2340,2387
1523149832,2345,2392
1523157029,2342,2389
