DateTime,Entries,UniqueIPs
1522151433,764,764
1522155031,748,748
1522158633,743,743
1522162231,724,724
1522165233,717,717
1522168830,740,740
1522172433,759,759
1522176633,770,770
1522180230,761,761
1522183833,760,760
1522187431,762,762
1522191033,795,795
1522194631,790,790
1522198232,787,787
1522201830,764,764
1522205433,733,733
1522208431,730,730
1522212033,726,726
1522215630,726,726
1522223431,747,747
1522227034,755,755
1522230630,786,786
1522234233,762,762
1522237831,710,710
1522241433,705,705
1522245030,699,699
1522248633,701,701
1522252231,710,710
1522255833,724,724
1522259430,733,733
1522263033,732,732
1522266631,718,718
1522270232,725,725
1522273230,728,728
1522276832,728,728
1522284629,732,732
1522288233,719,719
1522291830,695,695
1522295432,687,687
1522298429,681,681
1522302033,674,674
1522305629,683,683
1522308032,688,688
1522311631,687,687
1522314631,701,701
1522321830,718,718
1522326033,722,722
1522329630,728,728
1522333232,702,702
1522336830,691,691
1522340432,704,704
1522344031,720,720
1522347633,721,721
1522351231,734,734
1522354833,747,747
1522358431,746,746
1522362033,746,746
1522365630,738,738
1522368634,763,763
1522372832,757,757
1522380031,704,704
1522383032,706,706
1522387233,740,740
1522390830,729,729
1522394433,718,718
1522398030,717,717
1522401633,738,738
1522404630,730,730
1522408833,716,716
1522412431,718,718
1522419631,724,724
1522423233,708,708
1522426830,705,705
1522429833,740,740
1522434033,774,774
1522441231,843,843
1522444832,814,814
1522448431,796,796
1522452032,795,795
1522455631,769,769
1522462841,744,744
1522466432,687,687
1522469430,681,681
1522472432,679,679
1522475430,703,703
1522479032,685,685
1522482630,678,678
1522485632,683,683
1522489230,695,695
1522497030,679,679
1522500034,666,666
1522503631,665,665
1522505432,664,664
1522509030,666,666
1522512632,690,690
1522516231,677,677
1522519832,694,694
1522521630,699,699
1522529430,704,704
1522533032,700,700
1522536630,734,734
1522539632,731,731
1522547430,700,700
1522551034,674,674
1522554030,663,663
1522557631,664,664
1522561231,700,700
1522563032,716,716
1522566630,739,739
1522573830,722,722
1522578033,684,684
1522581631,669,669
1522585232,641,641
1522588231,643,643
1522591832,662,662
1522599030,652,652
1522602633,659,659
1522606230,680,680
1522610433,705,705
1522614031,715,715
1522617033,707,707
1522624229,725,725
1522629032,736,736
1522632030,721,721
1522635632,697,697
1522639230,658,658
1522642232,649,649
1522645830,673,673
1522650032,684,684
1522653631,678,678
1522657232,679,679
1522660830,688,688
1522664432,705,705
1522668030,711,711
1522671032,705,705
1522675232,703,703
1522678831,686,686
1522682432,658,658
1522685430,675,675
1522693232,693,693
1522696832,688,688
1522700431,678,678
1522704036,714,714
1522707030,716,716
1522711233,731,731
1522714231,740,740
1522718432,723,723
1522722031,694,694
1522725633,692,692
1522728630,681,681
1522732232,667,667
1522735831,676,676
1522739432,696,696
1522743633,704,704
1522747231,716,716
1522750833,695,695
1522753832,709,709
1522761030,702,702
1522768231,690,690
1522776030,699,699
1522779633,723,723
1522783231,737,737
1522786232,728,728
1522790433,715,715
1522794031,707,707
1522797632,719,719
1522801230,710,710
1522804832,687,687
1522808431,657,657
1522811432,649,649
1522815030,653,653
1522818633,688,688
1522822833,698,698
1522826435,698,698
1522830030,703,703
1522833632,700,700
1522837231,692,692
1522840832,706,706
1522848031,674,674
1522851633,677,677
1522855231,680,680
1522858832,703,703
1522862440,725,725
1522866633,713,713
1522870230,688,688
1522873233,691,691
1522876831,682,682
1522880435,695,695
1522884031,690,690
1522891230,668,668
1522894832,651,651
1522897830,629,629
1522901432,621,621
1522908631,652,652
1522915831,648,648
1522920032,663,663
1522923631,663,663
1522930230,626,626
1522934433,629,629
1522938031,653,653
1522941632,640,640
1522944631,644,644
1522948837,666,666
1522956030,691,691
1522959633,682,682
1522963231,688,688
1522966833,698,698
1522970430,685,685
1522974032,687,687
1522977630,669,669
1522984230,586,586
1522987233,576,576
1522989630,611,611
1522991432,619,619
1522995030,608,608
1522999233,607,607
1523002830,611,611
1523006433,610,610
1523010030,625,625
1523013632,624,624
1523016633,615,615
1523020833,587,587
1523024430,578,578
1523027433,586,586
1523031031,602,602
1523038230,607,607
1523041832,605,605
1523046032,620,620
1523053231,665,665
1523056832,683,683
1523060430,663,663
1523067630,602,602
1523071311,563,563
1523074254,538,538
1523077232,550,550
1523079630,553,553
1523082632,589,589
1523085030,593,593
1523088633,614,614
1523092833,626,626
1523096431,603,603
1523100032,602,602
1523103631,621,621
1523107233,601,601
1523110830,591,591
1523113834,615,615
1523117430,613,613
1523121633,634,634
1523125272,661,661
1523128832,650,650
1523132431,665,665
1523136033,662,662
1523139631,632,632
1523143232,633,633
1523146830,633,633
1523149832,630,630
1523157029,578,578
1523160632,569,569
1523164230,563,563
1523167833,584,584
1523171430,613,613
1523175033,611,611
1523178631,623,623
1523182233,643,643
1523187033,643,643
1523190031,638,638
1523193632,615,615
1523196631,621,621
1523200233,631,631
1523204433,666,666
1523208031,658,658
1523211639,649,649
1523215232,674,674
1523218833,685,685
1523222431,685,685
1523226032,649,649
1523233231,671,671
1523236832,676,676
1523240430,648,648
1523244033,612,612
1523247630,593,593
1523251232,609,609
1523254831,613,613
1523258432,617,617
1523262030,637,637
1523265632,670,670
1523272831,687,687
1523276440,651,651
1523280030,621,621
1523283633,629,629
1523290831,667,667
