DateTime,Entries,UniqueIPs
1517594420,1528,1543
1517605823,1571,1587
1517618421,1617,1631
1517631020,1606,1620
1517643620,1575,1589
1517656221,1554,1567
1517667022,1527,1539
1517680820,1604,1617
1517692219,1529,1540
1517706621,1639,1650
1517719221,1577,1589
1517731225,1592,1603
1517745625,1581,1593
1517759423,1548,1560
1517771423,1541,1551
1517783422,1483,1493
1517794220,1447,1457
1517804426,1472,1482
1517814622,1532,1542
1517826626,1572,1582
1517839223,1555,1566
1517853623,1580,1593
1517866222,1586,1601
1517875821,1584,1599
1517886621,1562,1576
1517900419,1546,1562
1517914821,1546,1561
1517925623,1514,1528
1517938222,1601,1616
1517952622,1609,1624
1517967018,1452,1463
1517978421,1397,1406
1517990421,1331,1340
1518004221,1295,1304
1518015623,1280,1289
1518030021,1337,1344
1518043822,1351,1357
1518057022,1331,1337
1518071418,1293,1300
1518085824,1275,1282
1518100222,1279,1285
1518114623,1301,1309
1518129023,1288,1296
1518142819,1319,1329
1518154221,1298,1308
1518168623,1265,1275
1518182422,1235,1245
1518196822,1211,1219
1518211220,1191,1199
1518222621,1174,1181
1518237021,1177,1184
1518251423,1169,1176
1518265220,1137,1143
1518276022,1096,1102
1518290420,1097,1102
1518301824,1064,1069
1518316219,1079,1084
1518330619,1092,1098
1518345024,1136,1142
1518359423,1175,1182
1518373823,1177,1183
1518387623,1154,1160
1518399021,1113,1117
1518413421,1076,1081
1518427823,1056,1061
1518441623,1063,1068
1518455421,1083,1088
1518466821,1107,1111
1518477620,1094,1097
1518492019,1036,1041
1518506419,1006,1011
1518520822,975,981
1518534622,941,948
1518546022,984,991
1518560422,1021,1029
1518574821,1021,1028
1518589220,1004,1011
1518603622,988,996
1518614421,966,974
1518628221,969,976
1518639622,983,989
1518650420,966,971
1518663620,985,989
1518677419,995,1002
1518691822,993,999
1518706222,1000,1007
1518720621,1005,1013
1518731421,1034,1042
1518742221,1036,1045
1518756619,1040,1049
1518771022,1061,1071
1518782423,1054,1062
1518796223,1036,1044
1518810621,1059,1066
1518825020,1040,1046
1518837021,1008,1014
1518850821,1001,1007
1518865223,1038,1043
1518879622,1043,1048
1518894021,1090,1094
1518908421,1107,1111
1518922820,1075,1079
1518936619,1119,1125
1518948024,1115,1123
1518961822,1112,1122
1518976223,1116,1126
1518990620,1158,1167
1519005020,1144,1154
1519019422,1136,1147
1519030222,1114,1125
1519044622,1111,1122
1519057223,1125,1136
1519071621,1145,1156
1519084823,1129,1140
1519099221,1151,1163
1519113021,1152,1163
1519123823,1112,1122
1519138221,1081,1091
1519149023,1090,1100
1519160422,1092,1103
1519174221,1086,1097
1519185620,1098,1110
1519200023,1154,1166
1519213823,1107,1116
1519228221,1086,1095
1519242620,1066,1071
1519253422,1049,1054
1519268421,1032,1038
1519282220,1006,1013
1519293023,1002,1008
1519307422,990,996
1519321821,998,1003
1519336222,976,982
1519350620,948,954
1519364420,906,912
1519375822,907,913
1519387223,891,898
1519401023,904,910
1519415420,932,938
1519426823,948,953
1519440622,924,929
1519455019,934,940
1519468822,938,944
1519480222,929,934
1519494023,945,950
