DateTime,AddedIPs,RemovedIPs
1517594420,294,250
1517605823,317,233
1517618421,291,290
1517631020,240,291
1517643620,221,282
1517656221,279,277
1517667022,252,287
1517680820,288,250
1517692219,340,257
1517706621,302,298
1517719221,240,328
1517731225,256,279
1517745625,264,234
1517759423,240,274
1517771423,319,227
1517783422,247,288
1517794220,273,257
1517804426,270,263
1517814622,223,277
1517826626,300,273
1517839223,219,295
1517853623,323,213
1517866222,309,241
1517875821,289,259
1517886621,205,327
1517900419,242,297
1517914821,260,269
1517925623,210,267
1517938222,238,228
1517952622,277,191
1517967018,216,275
1517978421,221,243
1517990421,180,267
1518004221,224,186
1518015623,200,224
1518030021,272,200
1518043822,242,228
1518057022,195,238
1518071418,190,255
1518085824,201,213
1518100222,217,218
1518114623,261,193
1518129023,236,218
1518142819,220,233
1518154221,179,245
1518168623,185,206
1518182422,184,205
1518196822,211,188
1518211220,211,193
1518222621,224,190
1518237021,178,241
1518251423,173,199
1518265220,179,175
1518276022,184,156
1518290420,237,146
1518301824,173,194
1518316219,204,202
1518330619,173,207
1518345024,191,206
1518359423,177,199
1518373823,205,178
1518387623,210,154
1518399021,166,183
1518413421,152,219
1518427823,172,192
1518441623,171,187
1518455421,159,181
1518466821,200,147
1518477620,170,148
1518492019,146,189
1518506419,168,159
1518520822,157,179
1518534622,124,174
1518546022,209,124
1518560422,176,164
1518574821,167,190
1518589220,139,169
1518603622,162,177
1518614421,152,163
1518628221,169,161
1518639622,180,150
1518650420,184,157
1518663620,152,190
1518677419,175,151
1518691822,153,165
1518706222,187,180
1518720621,166,180
1518731421,227,129
1518742221,182,189
1518756619,151,232
1518771022,149,186
1518782423,183,155
1518796223,162,174
1518810621,192,152
1518825020,193,170
1518837021,183,183
1518850821,137,201
1518865223,210,153
1518879622,156,205
1518894021,219,157
1518908421,210,180
1518922820,149,229
1518936619,254,181
1518948024,193,204
1518961822,171,227
1518976223,197,153
1518990620,249,175
1519005020,165,211
1519019422,185,174
1519030222,175,198
1519044622,205,200
1519057223,164,204
1519071621,228,173
1519084823,223,174
1519099221,154,253
1519113021,205,171
1519123823,173,183
1519138221,157,217
1519149023,211,154
1519160422,194,193
1519174221,211,193
1519185620,169,209
1519200023,157,199
1519213823,197,169
1519228221,139,209
1519242620,209,146
1519253422,195,176
1519268421,153,204
1519282220,149,180
1519293023,159,164
1519307422,166,155
1519321821,151,165
1519336222,181,143
1519350620,176,154
1519364420,117,209
1519375822,160,138
1519387223,147,152
1519401023,173,147
1519415420,188,133
1519426823,160,181
1519440622,152,186
