DateTime,AddedIPs,RemovedIPs
1522147229,26,26
1522151431,22,26
1522155029,22,20
1522158631,20,23
1522162229,25,20
1522165231,25,25
1522168829,24,25
1522172431,24,25
1522176631,26,24
1522180228,23,25
1522183831,24,23
1522187429,19,24
1522191031,24,19
1522194629,21,24
1522198230,24,22
1522201828,18,20
1522205430,22,20
1522208429,22,20
1522212031,22,22
1522215628,20,22
1522223429,17,15
1522227032,21,21
1522230629,20,22
1522234231,25,23
1522237829,25,25
1522241431,19,24
1522245028,25,20
1522248631,23,23
1522252229,22,24
1522255831,26,23
1522259428,25,27
1522263030,21,22
1522266628,21,22
1522270230,21,20
1522273229,23,22
1522276830,27,25
1522284627,21,23
1522288231,24,25
1522291828,23,23
1522295431,22,22
1522298428,20,19
1522302031,20,22
1522305628,21,20
1522308030,17,19
1522311629,22,19
1522314630,23,23
1522321829,20,20
1522326031,20,22
1522329628,22,20
1522333230,21,21
1522336829,22,23
1522340430,22,22
1522344030,25,23
1522347631,21,22
1522351229,23,21
1522354830,23,26
1522358429,25,23
1522362031,21,25
1522365629,23,20
1522368631,16,20
1522372830,18,18
1522380029,22,20
1522383030,20,19
1522387231,23,20
1522390828,19,23
1522394431,21,21
1522398028,22,19
1522401631,23,23
1522404628,22,22
1522408831,23,22
1522412429,19,21
1522419629,16,18
1522423231,21,19
1522426828,22,20
1522429831,19,23
1522434031,20,18
1522441229,21,21
1522444830,21,21
1522448429,20,22
1522452030,23,20
1522455629,22,22
1522462837,21,22
1522466430,20,22
1522469428,21,20
1522472430,21,21
1522475428,11,13
1522479030,20,19
1522482628,22,21
1522485630,17,17
1522489228,19,20
1522497028,21,20
1522500032,21,22
1522503629,23,21
1522505430,16,15
1522509029,19,21
1522512630,22,20
1522516229,20,22
1522519831,21,20
1522521628,20,20
1522529428,18,19
1522533031,22,21
1522536629,17,21
1522539630,21,18
1522547428,24,22
1522551032,19,24
1522554028,24,19
1522557630,23,24
1522561229,20,23
1522563030,17,16
1522566628,19,18
1522573828,13,12
1522578031,23,21
1522581629,19,22
1522585231,18,16
1522588229,21,22
1522591830,20,22
1522599028,21,19
1522602632,19,21
1522606228,20,18
1522610431,22,22
1522614029,25,24
1522617031,20,23
1522624227,18,17
1522629031,24,21
1522632028,22,26
1522635630,19,21
1522639228,21,18
1522642230,20,19
1522645828,19,22
1522650031,22,20
1522653629,22,22
1522657230,15,17
1522660829,19,18
1522664430,20,20
1522668028,25,23
1522671030,22,24
1522675231,20,18
1522678829,21,21
1522682430,23,22
1522685428,21,22
1522693230,15,16
1522696830,22,22
1522700429,25,23
1522704034,20,22
1522707029,19,19
1522711231,21,19
1522714228,24,23
1522718430,22,23
1522722029,22,23
1522725631,22,21
1522728629,18,21
1522732230,20,19
1522735829,23,21
1522739431,22,24
1522743631,24,21
1522747229,20,23
1522750831,18,18
1522753830,21,21
1522761029,17,16
1522768229,22,22
1522776028,22,22
1522779631,22,22
1522783229,19,22
1522786230,21,18
1522790431,22,22
1522794029,22,22
1522797630,18,21
1522801228,20,17
1522804830,19,21
1522808429,20,18
1522811430,15,16
1522815028,20,18
1522818631,20,21
1522822831,20,21
1522826433,24,22
1522830028,22,22
1522833631,20,23
1522837229,21,20
1522840831,19,21
1522848029,21,18
1522851631,19,20
1522855229,18,19
1522858830,23,20
1522862438,23,24
1522866631,23,22
1522870228,21,22
1522873231,21,20
1522876829,22,21
1522880433,17,20
1522884029,21,20
1522891229,15,19
1522894830,16,16
1522897828,18,16
1522901430,19,18
1522908628,14,14
1522915829,15,14
1522920030,21,20
1522923629,19,21
1522930228,20,18
1522934431,18,19
1522938029,18,18
1522941630,18,19
1522944629,15,17
1522948833,21,18
1522956028,15,16
1522959631,20,20
1522963229,19,19
1522966831,21,20
1522970428,19,20
1522974030,21,21
1522977628,19,18
1522984228,12,14
1522987231,19,17
1522989629,19,18
1522991430,21,21
1522995028,21,22
1522999231,20,21
1523002828,20,20
1523006432,19,20
1523010028,16,17
1523013630,22,19
1523016630,20,21
1523020831,17,18
1523024428,22,20
1523027431,21,22
1523031029,19,19
1523038229,15,16
1523041830,21,17
1523046030,20,23
1523053229,19,18
1523056830,20,20
1523060428,20,20
1523067629,13,12
1523071307,19,22
1523077230,15,12
1523079628,12,14
1523082630,21,20
1523085028,17,20
1523088631,19,18
1523092831,19,19
1523096429,19,19
1523100030,21,18
1523103629,21,22
1523107230,21,21
1523110828,19,22
1523113831,22,19
1523117428,20,19
1523121631,23,22
1523125250,18,23
1523128830,20,18
1523132429,20,21
1523136031,21,19
1523139628,19,20
1523143230,24,22
1523146828,17,18
1523149830,15,15
1523157028,23,23
1523160631,18,20
1523164228,21,18
1523167831,24,24
1523171429,20,22
1523175031,19,19
1523178629,15,17
1523182231,20,18
1523187031,20,17
1523190029,18,21
1523193630,20,19
1523196629,20,21
1523200231,20,19
1523204430,18,18
1523208028,20,22
1523211637,17,18
1523215229,25,20
1523218831,20,24
1523222429,24,21
1523226030,19,23
1523233229,17,16
1523236830,20,18
1523240428,21,22
1523244030,20,19
1523247628,22,21
1523251230,22,22
1523254829,21,23
1523258430,20,18
1523262028,18,18
1523265630,20,20
1523272829,14,14
1523276438,22,21
1523280028,22,22
1523283631,23,23
1523290829,15,20
1523294430,23,19
1523301628,17,17
1523305231,23,23
1523308828,18,21
1523312430,20,19
1523316029,20,19
1523323228,14,15
1523326831,20,20
1523329828,15,16
1523333430,19,19
