DateTime,AddedIPs,RemovedIPs
1521863767,0,1
1521864247,1,0
1521867130,0,1
1521867849,1,0
1521892816,0,1
1521893286,1,0
1521918013,0,1
1521918487,1,0
1521919927,0,1
1521920405,1,0
1521940326,17,19
1521940810,15,18
1521941529,14,18
1521942004,10,13
1521942486,11,5
1521942967,19,24
1521943446,13,6
1521943924,1,4
1521944404,1,3
1521944888,1,1
1521945364,0,1
1521993368,0,1
1521993848,1,0
1522020247,0,1
1522020733,1,0
1522026485,12,22
1522026967,11,9
1522027445,16,12
1522027927,13,18
1522028405,8,9
1522028887,18,12
1522029367,17,18
1522029847,17,11
1522030327,4,3
1522030806,3,0
1522031768,1,1
1522043524,0,1
1522044013,1,0
1522045931,0,1
1522046408,1,0
1522093685,0,1
1522094165,1,0
1522112649,7,10
1522113127,16,14
1522113608,15,16
1522114086,10,9
1522114574,13,11
1522115051,9,9
1522115765,25,29
1522116247,9,5
1522116725,7,9
1522117211,3,1
1522118165,1,0
1522173366,0,1
1522173848,0,1
1522174328,2,0
1522199049,0,1
1522199526,12,17
1522200011,6,11
1522200488,22,20
1522201208,13,11
1522201688,16,18
1522202173,12,16
1522202648,11,9
1522203128,13,11
1522203608,2,0
1522204811,1,0
1522248728,0,2
1522249214,2,0
1522250646,0,1
1522251127,1,0
1522274887,0,1
1522275369,1,0
1522285686,13,20
1522286164,13,9
1522286650,21,15
1522287127,13,14
1522287635,13,14
1522288090,12,12
1522288568,11,17
1522289051,19,14
1522289528,5,2
1522290012,4,2
1522290489,1,0
1522290967,2,1
1522310646,0,1
1522311128,1,0
1522325288,0,1
1522325768,1,0
1522348089,0,1
1522348567,1,0
1522371126,0,1
1522371621,1,0
1522372087,7,11
1522372568,16,26
1522373046,16,13
1522373530,13,15
1522374006,7,9
1522374485,18,14
1522374969,9,10
1522375447,14,15
1522375928,6,2
1522376405,1,2
1522376890,2,1
1522399446,0,1
1522400417,1,0
1522400887,0,1
1522401368,1,0
1522458249,5,11
1522458725,17,12
1522459209,11,11
1522459687,12,15
1522460167,8,7
1522460648,16,15
1522461130,8,5
1522461614,22,26
1522462090,16,9
1522462567,3,2
1522463047,1,0
1522463526,1,1
1522474569,0,1
1522476010,1,0
1522488969,0,1
1522489447,1,0
1522492811,0,1
1522494245,1,0
1522524247,0,1
1522524727,1,0
1522543206,0,1
1522543688,1,0
1522544652,5,5
1522545125,13,15
1522545607,21,22
1522546085,6,12
1522546571,10,12
1522547046,12,9
1522547528,12,15
1522548015,28,24
1522548490,5,5
1522548967,2,5
1522549446,2,1
1522549928,1,0
1522560965,0,1
1522561928,1,0
1522568405,0,1
1522568885,1,0
1522575127,0,1
1522575606,1,0
1522581846,0,1
1522582327,1,0
1522587847,0,1
1522588805,1,0
1522594324,0,1
1522594824,1,0
1522625527,0,1
1522626007,1,0
1522631286,6,6
1522631770,16,19
1522632245,15,14
1522632729,14,15
1522633204,6,7
1522633689,17,18
1522634165,17,18
1522634650,18,18
1522635126,6,5
1522644965,0,1
1522645446,1,0
1522680727,0,1
1522681216,1,0
1522686968,0,1
1522687689,1,0
1522695125,0,1
1522695850,1,0
1522704728,0,1
1522705208,1,0
1522713849,0,1
1522714327,1,0
