DateTime,Entries,UniqueIPs
1521857764,5099,5099
1521858246,5099,5099
1521858968,5100,5100
1521863767,5099,5099
1521864247,5100,5100
1521867130,5099,5099
1521867849,5100,5100
1521892816,5099,5099
1521893286,5100,5100
1521918013,5099,5099
1521918487,5100,5100
1521919927,5099,5099
1521920405,5100,5100
1521940326,5098,5098
1521940810,5095,5095
1521941529,5091,5091
1521942004,5088,5088
1521942486,5094,5094
1521942967,5089,5089
1521943446,5096,5096
1521943924,5093,5093
1521944404,5091,5091
1521944888,5091,5091
1521945364,5090,5090
1521993368,5089,5089
1521993848,5090,5090
1522020247,5089,5089
1522020733,5090,5090
1522026485,5080,5080
1522026967,5082,5082
1522027445,5086,5086
1522027927,5081,5081
1522028405,5080,5080
1522028887,5086,5086
1522029367,5085,5085
1522029847,5091,5091
1522030327,5092,5092
1522030806,5095,5095
1522031768,5095,5095
1522043524,5094,5094
1522044013,5095,5095
1522045931,5094,5094
1522046408,5095,5095
1522093685,5094,5094
1522094165,5095,5095
1522112649,5092,5092
1522113127,5094,5094
1522113608,5093,5093
1522114086,5094,5094
1522114574,5096,5096
1522115051,5096,5096
1522115765,5092,5092
1522116247,5096,5096
1522116725,5094,5094
1522117211,5096,5096
1522118165,5097,5097
1522173366,5096,5096
1522173848,5095,5095
1522174328,5097,5097
1522199049,5096,5096
1522199526,5091,5091
1522200011,5086,5086
1522200488,5088,5088
1522201208,5090,5090
1522201688,5088,5088
1522202173,5084,5084
1522202648,5086,5086
1522203128,5088,5088
1522203608,5090,5090
1522204811,5091,5091
1522248728,5089,5089
1522249214,5091,5091
1522250646,5090,5090
1522251127,5091,5091
1522274887,5090,5090
1522275369,5091,5091
1522285686,5084,5084
1522286164,5088,5088
1522286650,5094,5094
1522287127,5093,5093
1522287635,5092,5092
1522288090,5092,5092
1522288568,5086,5086
1522289051,5091,5091
1522289528,5094,5094
1522290012,5096,5096
1522290489,5097,5097
1522290967,5098,5098
1522310646,5097,5097
1522311128,5098,5098
1522325288,5097,5097
1522325768,5098,5098
1522348089,5097,5097
1522348567,5098,5098
1522371126,5097,5097
1522371621,5098,5098
1522372087,5094,5094
1522372568,5084,5084
1522373046,5087,5087
1522373530,5085,5085
1522374006,5083,5083
1522374485,5087,5087
1522374969,5086,5086
1522375447,5085,5085
1522375928,5089,5089
1522376405,5088,5088
1522376890,5089,5089
1522399446,5088,5088
1522400417,5089,5089
1522400887,5088,5088
1522401368,5089,5089
1522458249,5083,5083
1522458725,5088,5088
1522459209,5088,5088
1522459687,5085,5085
1522460167,5086,5086
1522460648,5087,5087
1522461130,5090,5090
1522461614,5086,5086
1522462090,5093,5093
1522462567,5094,5094
1522463047,5095,5095
1522463526,5095,5095
1522474569,5094,5094
1522476010,5095,5095
1522488969,5094,5094
1522489447,5095,5095
1522492811,5094,5094
1522494245,5095,5095
1522524247,5094,5094
1522524727,5095,5095
1522543206,5094,5094
1522543688,5095,5095
1522544652,5095,5095
1522545125,5093,5093
1522545607,5092,5092
1522546085,5086,5086
1522546571,5084,5084
1522547046,5087,5087
1522547528,5084,5084
1522548015,5088,5088
1522548490,5088,5088
1522548967,5085,5085
1522549446,5086,5086
1522549928,5087,5087
1522560965,5086,5086
1522561928,5087,5087
1522568405,5086,5086
1522568885,5087,5087
1522575127,5086,5086
1522575606,5087,5087
1522581846,5086,5086
1522582327,5087,5087
1522587847,5086,5086
1522588805,5087,5087
1522594324,5086,5086
1522594824,5087,5087
1522625527,5086,5086
1522626007,5087,5087
1522631286,5087,5087
1522631770,5084,5084
1522632245,5085,5085
1522632729,5084,5084
1522633204,5083,5083
1522633689,5082,5082
1522634165,5081,5081
1522634650,5081,5081
1522635126,5082,5082
1522644965,5081,5081
1522645446,5082,5082
1522680727,5081,5081
1522681216,5082,5082
1522686968,5081,5081
1522687689,5082,5082
1522695125,5081,5081
1522695850,5082,5082
1522704728,5081,5081
1522705208,5082,5082
1522713849,5081,5081
1522714327,5082,5082
1522717688,5085,5085
1522718169,5083,5083
1522718647,5083,5083
1522719129,5083,5083
1522719607,5080,5080
1522720088,5085,5085
1522720566,5089,5089
1522721048,5090,5090
1522721530,5090,5090
1522722004,5093,5093
1522722488,5094,5094
1522727765,5093,5093
1522728257,5093,5093
1522728725,5094,5094
1522729208,5093,5093
1522729685,5094,5094
1522734970,5093,5093
1522735446,5094,5094
1522765928,5093,5093
