DateTime,Entries,UniqueIPs
1522089366,82,82
1522089848,83,83
1522090825,85,85
1522092248,82,82
1522092731,84,84
1522093204,82,82
1522094652,84,84
1522095124,82,82
1522097528,81,81
1522098018,83,83
1522098730,84,84
1522100892,85,85
1522103765,84,84
1522104249,83,83
1522107130,84,84
1522113127,83,83
1522113608,84,84
1522115051,85,85
1522116725,86,86
1522117686,85,85
1522140004,86,86
1522149130,85,85
1522152970,86,86
1522174804,83,83
1522175289,85,85
1522190169,84,84
1522193525,85,85
1522197130,84,84
1522199526,83,83
1522200011,84,84
1522200488,85,85
1522201688,85,85
1522202173,85,85
1522202648,86,86
1522203128,87,87
1522204811,86,86
1522207208,87,87
1522210572,86,86
1522214646,85,85
1522215369,86,86
1522218012,87,87
1522223526,86,86
1522224024,87,87
1522224487,85,85
1522224968,87,87
1522260487,86,86
1522260967,85,85
1522264326,86,86
1522269127,87,87
1522270092,86,86
1522275369,85,85
1522275846,86,86
1522278732,85,85
1522280886,87,87
1522284248,86,86
1522286650,85,85
1522287127,86,86
1522288090,85,85
1522288568,86,86
1522289051,85,85
1522290967,86,86
1522297686,85,85
1522309204,86,86
1522311128,85,85
1522314025,86,86
1522319290,85,85
1522319764,84,84
1522320250,86,86
1522323129,85,85
1522323605,86,86
1522325768,84,84
1522326243,85,85
1522331049,86,86
1522337527,85,85
1522338005,86,86
1522339927,87,87
1522345206,86,86
1522346166,85,85
1522346647,86,86
1522349527,85,85
1522353365,83,83
1522353846,85,85
1522355289,86,86
1522356250,87,87
1522358646,86,86
1522359604,85,85
1522361047,84,84
1522362006,85,85
1522373530,84,84
1522374006,85,85
1522375447,86,86
1522377367,85,85
1522378324,84,84
1522380971,85,85
1522381450,86,86
1522392250,85,85
1522393686,86,86
1522400417,84,84
1522400887,85,85
1522402329,84,84
1522402807,85,85
1522404730,86,86
1522407125,87,87
1522413370,86,86
1522415287,87,87
1522436645,86,86
1522454889,83,83
1522455365,85,85
1522456805,86,86
1522458725,85,85
1522460648,84,84
1522461614,83,83
1522462090,84,84
1522476010,83,83
1522480325,84,84
1522485133,83,83
1522487525,82,82
1522488969,83,83
1522489447,85,85
1522492811,84,84
1522493286,83,83
1522494245,84,84
1522494731,83,83
1522495689,84,84
1522497616,85,85
1522501928,84,84
1522518005,83,83
1522521368,84,84
1522522812,83,83
1522524727,82,82
1522534327,83,83
1522543688,82,82
1522546085,81,81
1522555687,82,82
1522559527,81,81
1522568885,82,82
1522574169,83,83
1522577527,82,82
1522578009,83,83
1522588328,82,82
1522593364,83,83
1522607530,82,82
1522612811,81,81
1522615926,82,82
1522622649,81,81
1522625051,79,79
1522625527,82,82
1522632245,81,81
1522632729,82,82
1522635126,81,81
1522638725,82,82
1522645446,81,81
1522649770,82,82
1522651206,83,83
1522653129,82,82
1522657928,83,83
1522673776,81,81
1522674248,83,83
1522677127,82,82
1522682646,83,83
1522687689,81,81
1522688165,83,83
1522695850,82,82
1522703766,81,81
1522707130,82,82
1522716005,81,81
1522720566,80,80
1522722488,81,81
1522734007,82,82
1522738329,81,81
1522740974,80,80
1522748404,82,82
1522755849,81,81
1522756822,80,80
1522757286,81,81
1522759690,82,82
1522779369,81,81
1522790410,79,79
1522790885,81,81
1522791847,82,82
1522794967,81,81
1522803612,80,80
1522806965,82,82
1522808165,81,81
1522810086,80,80
1522811526,81,81
1522813925,82,82
1522814422,80,80
1522814886,82,82
1522821127,81,81
1522825215,82,82
1522832650,80,80
1522833125,82,82
1522836019,83,83
1522846084,82,82
1522857630,83,83
1522864813,82,82
1522866246,81,81
1522868165,82,82
1522872011,80,80
1522872487,82,82
1522874646,83,83
1522875849,82,82
1522877771,81,81
1522886650,82,82
1522889766,81,81
1522891933,82,82
1522896969,81,81
1522901528,82,82
1522919528,83,83
1522922164,82,82
1522922648,83,83
1522931526,82,82
1522935850,83,83
1522944967,82,82
1522946407,83,83
1522952165,82,82
1522952646,83,83
1522953128,82,82
1522964168,79,79
1522964886,81,81
1522967289,82,82
1522979528,81,81
1522980012,81,81
1522980489,82,82
1523005689,81,81
1523007126,82,82
1523010010,83,83
1523013368,82,82
1523017217,83,83
1523017688,82,82
1523022248,82,82
1523028253,83,83
1523035208,82,82
1523039526,81,81
1523041931,82,82
1523051044,81,81
1523053924,82,82
1523057050,83,83
1523059447,81,81
1523059926,82,82
1523063769,81,81
1523083928,80,80
1523087765,81,81
1523091609,80,80
1523092087,81,81
1523096164,82,82
1523100008,81,81
1523102164,82,82
1523127613,81,81
1523149689,80,80
1523150165,81,81
1523160969,81,81
1523164331,80,80
1523168168,81,81
1523169605,82,82
1523172486,81,81
1523173444,80,80
1523180166,81,81
1523184005,82,82
1523186887,81,81
1523187368,82,82
1523190248,80,80
1523190727,81,81
1523199366,82,82
1523201286,81,81
1523206089,82,82
1523212806,81,81
1523213765,80,80
1523219530,81,81
1523222886,80,80
1523224827,81,81
1523227930,80,80
1523229130,81,81
1523231046,82,82
1523233931,81,81
1523236327,82,82
1523237045,81,81
1523238489,79,79
1523239928,78,78
1523240408,79,79
1523247126,80,80
1523254807,79,79
1523258645,78,78
1523259129,80,80
1523267766,81,81
1523273046,80,80
1523276415,81,81
1523291765,80,80
1523299448,79,79
1523301369,80,80
1523316245,81,81
1523317685,80,80
1523325364,81,81
1523327049,80,80
1523330886,79,79
1523334245,80,80
1523340968,79,79
1523344809,80,80
1523345769,81,81
1523349127,80,80
1523352485,81,81
1523355368,80,80
1523356809,81,81
1523368570,80,80
1523374326,79,79
1523374808,80,80
1523377929,79,79
1523378647,81,81
1523384886,80,80
1523385845,79,79
1523388008,80,80
1523388971,81,81
1523390887,80,80
1523391848,79,79
1523394250,80,80
1523399050,81,81
1523401688,80,80
1523404568,81,81
1523407927,80,80
1523409845,81,81
1523411290,83,83
1523412248,82,82
1523414406,81,81
1523425926,79,79
1523426417,81,81
1523433614,81,81
1523436489,80,80
1523436966,81,81
1523439370,82,82
1523451134,80,80
1523451609,82,82
1523471289,81,81
1523472727,79,79
1523473213,81,81
1523477525,82,82
1523480892,81,81
1523488812,79,79
1523491693,80,80
1523494565,80,80
1523495046,81,81
1523496005,82,82
1523500086,83,83
1523502016,82,82
1523524086,83,83
1523526004,82,82
1523529606,83,83
1523535856,82,82
1523536330,83,83
1523537765,82,82
1523538248,83,83
1523546405,81,81
1523546889,83,83
1523558407,82,82
1523560095,81,81
1523567048,82,82
1523567527,83,83
1523569926,82,82
1523570890,80,80
1523571373,82,82
1523582187,81,81
1523582646,80,80
1523585049,79,79
1523588888,80,80
1523595367,78,78
1523595846,80,80
