DateTime,AddedIPs,RemovedIPs
1523852523,1,0
1523853122,14,2
1523853722,0,13
1523854322,3,0
1523854921,8,0
1523855521,1,1
1523856122,0,10
1523856721,1,0
1523857321,0,1
1523857922,1,4
1523859122,1,8
1523859721,0,6
1523860322,1,14
1523860922,1,4
1523862121,1,0
1523862722,1,3
1523863322,0,2
1523863922,2,0
1523864521,0,1
1523865722,0,3
1523866322,1,0
1523867522,0,11
1523869322,0,22
1523869922,0,12
1523870522,1,0
1523871122,0,14
1523871722,1,16
1523872322,0,1
1523872922,1,0
1523873522,0,17
1523874122,0,1
1523874721,7,3
1523875321,1,1
1523875922,1,2
1523876522,0,1
1523877121,2,1
1523877722,4,0
1523878322,0,1
1523878922,2,6
1523880123,1,4
1523880721,1,3
1523881321,2,0
1523881922,2,20
1523882522,0,5
1523883121,0,11
1523883722,0,1
1523884322,1,0
1523884922,0,12
1523885521,1,0
1523886721,2,5
1523887323,0,9
1523887922,1,0
1523888522,0,33
1523889722,2,0
1523890922,3,18
1523892122,0,2
1523892722,2,0
1523893321,0,4
1523893922,1,3
1523894521,0,4
1523895122,2,0
1523895722,5,4
1523896322,1,1
1523896921,4,0
1523897522,5,20
1523898122,1,2
1523898722,2,0
1523899321,2,3
1523900522,1,8
1523901122,1,6
1523901722,5,0
1523902321,1,8
1523902921,1,21
1523903522,2,0
1523904121,2,23
1523904723,6,0
1523905322,0,4
1523905922,0,2
1523906521,0,3
1523907122,0,1
1523908321,2,2
1523908922,0,1
1523909522,0,1
1523910122,1,7
1523910722,0,2
1523911922,4,0
1523913122,0,5
1523914322,2,0
1523914921,1,3
1523915523,14,2
1523916722,0,1
1523917322,0,35
1523918521,15,4
1523919122,0,2
1523919721,2,0
1523920322,0,9
1523920922,0,5
1523921522,0,2
1523922122,0,16
1523923321,0,8
1523924522,2,4
1523925122,0,27
1523926322,0,1
1523926922,1,0
1523928122,2,5
1523928723,1,0
1523929322,0,11
1523929922,1,2
1523930521,4,0
1523931121,0,2
1523931722,1,0
1523932322,0,8
1523932921,0,3
1523934122,3,1
1523934722,3,0
1523935322,3,0
1523935922,5,13
1523936522,0,1
1523937121,0,1
1523937722,0,2
1523938922,10,4
1523939522,1,2
1523940122,0,1
1523940722,0,52
1523941921,0,12
1523942521,4,2
1523943121,1,0
1523943722,5,0
1523944321,1,4
1523944922,10,0
1523945522,0,31
1523946122,0,10
1523946723,2,0
1523947922,4,0
1523948522,8,0
1523949122,3,26
1523949721,0,2
1523950322,8,9
1523950922,8,3
1523951523,9,0
1523952122,10,0
1523952721,2,2
1523953323,4,11
1523953922,7,0
1523954522,2,3
1523955722,2,0
1523956322,3,2
1523956922,14,0
1523957522,0,3
1523958123,4,0
1523958722,1,0
1523959322,7,29
1523959921,0,1
1523961122,3,9
1523962922,3,5
1523963522,0,1
1523964122,1,0
1523964722,1,0
1523965321,3,2
1523965922,0,13
1523966522,1,1
1523967122,1,0
1523968322,0,12
1523969522,12,9
1523970121,0,1
1523970721,4,1
1523971321,8,8
1523971922,2,2
1523973122,8,0
1523973721,4,20
1523974322,1,0
1523974922,0,17
1523975522,2,0
1523976123,2,0
1523976721,0,19
1523977322,1,0
1523978522,4,3
1523979122,1,2
1523979722,0,1
1523980322,1,0
1523980922,3,3
1523981522,0,1
1523982721,4,0
1523984522,2,10
1523985122,2,0
1523985722,6,0
1523986322,0,2
1523987521,0,9
1523988121,1,2
1523988722,14,30
1523989322,3,1
1523990523,4,2
1523991722,2,0
1523992322,0,5
1523993521,0,1
1523994122,1,4
1523994721,2,0
1523995322,1,1
1523995922,4,1
1523996521,2,0
1523997121,0,6
1523998322,1,1
1523999522,1,7
1524000122,14,2
1524000722,4,0
1524001923,2,3
1524002522,2,48
1524003121,4,0
1524003722,10,0
1524004322,1,13
1524004922,1,1
1524005522,2,4
1524006722,2,1
1524007322,9,0
1524007922,4,0
1524008522,1,2
1524009122,0,8
1524010322,0,1
1524010922,1,2
1524012122,32,0
1524013322,29,2
1524013923,18,0
1524015121,44,13
1524016321,36,5
1524016922,8,0
1524017522,10,8
1524018122,20,8
1524018721,0,4
1524019322,10,2
1524019921,20,1
1524020522,0,3
1524021122,18,0
1524021721,17,0
1524022322,5,4
1524022923,16,0
1524023522,3,1
1524024121,11,19
1524025321,31,9
1524025921,2,0
1524026523,5,1
1524027122,13,1
1524027721,24,0
1524028321,4,1
1524028922,9,3
1524030122,11,7
1524031322,5,2
1524031922,3,3
1524032522,3,8
1524033122,10,5
1524033721,9,0
1524034321,2,0
1524034921,1,21
1524035521,2,0
1524037322,2,3
1524037922,4,2
1524038521,0,10
1524039122,1,0
1524039721,1,2
1524040321,1,10
1524040922,5,0
1524042122,5,0
1524042722,3,0
1524043922,5,0
1524044522,0,1
1524045122,11,0
1524045721,3,8
1524046322,17,7
1524046922,6,0
1524047522,2,13
1524048121,0,6
1524049322,3,0
1524050522,5,7
1524051121,2,0
1524051721,1,0
1524052921,2,0
1524054123,1,0
1524054722,1,13
1524055321,2,2
1524056521,10,0
1524057122,0,2
1524057722,1,0
1524058322,10,0
1524058921,4,2
1524059522,11,0
1524060122,9,0
1524060722,5,3
1524061321,0,2
1524061922,4,0
1524062521,3,0
1524063122,0,1
1524063722,7,22
1524064922,0,2
1524065522,2,5
1524066721,11,19
1524067921,1,16
1524068522,1,0
1524069121,7,0
1524069721,4,1
1524070922,16,0
1524071522,3,4
1524072722,11,5
1524073322,5,3
1524073922,7,0
1524074522,0,2
1524075122,2,0
1524075721,0,4
1524076322,1,4
1524076922,2,7
1524077521,1,0
1524078123,3,0
