DateTime,AddedIPs,RemovedIPs
1523908922,80,80
1523909522,10,10
1523910122,71,71
1523910722,79,79
1523911322,35,35
1523911922,79,79
1523913122,80,80
1523913721,80,80
1523914322,80,80
1523914921,80,80
1523915523,80,80
1523916121,80,80
1523916722,80,80
1523917322,30,30
1523918521,78,78
1523919122,80,80
1523919721,80,80
1523920322,79,79
1523920922,80,80
1523921522,77,77
1523922122,80,80
1523922721,80,80
1523923321,80,80
1523923923,80,80
1523924522,80,80
1523925122,79,79
1523925722,75,75
1523926322,80,80
1523926922,80,80
1523927521,77,77
1523928122,63,63
1523928723,80,80
1523929322,79,79
1523929922,51,51
1523930521,80,80
1523931121,80,80
1523931722,78,78
1523932322,80,80
1523932921,30,30
1523933522,79,79
1523934122,79,79
1523934722,80,80
1523935322,80,80
1523935922,78,78
1523936522,80,80
1523937121,80,80
1523937722,45,45
1523938321,76,76
1523938922,80,80
1523939522,80,80
1523940122,75,75
1523940722,79,79
1523941321,78,78
1523941921,74,74
1523942521,80,80
1523943121,77,77
1523943722,78,78
1523944321,80,80
1523944922,78,78
1523945522,76,76
1523946122,3,3
1523946723,80,80
1523947321,80,80
1523947922,80,80
1523948522,73,73
1523949122,80,80
1523949721,76,76
1523950322,62,62
1523950922,80,80
1523951523,77,77
1523952122,80,80
1523952721,73,73
1523953323,69,69
1523953922,80,80
1523954522,80,80
1523955121,78,78
1523955722,80,80
1523956322,80,80
1523956922,78,78
1523957522,80,80
1523958123,80,80
1523958722,80,80
1523959322,80,80
1523959921,80,80
1523960522,80,80
1523961122,80,80
1523961722,80,80
1523962322,80,80
1523962922,80,80
1523963522,80,80
1523964122,80,80
1523964722,80,80
1523965321,80,80
1523965922,80,80
1523966522,80,80
1523967122,80,80
1523967722,80,80
1523968322,80,80
1523968921,78,78
1523969522,80,80
1523970121,80,80
1523970721,80,80
1523971321,78,78
1523971922,80,80
1523972522,80,80
1523973122,80,80
1523973721,80,80
1523974322,79,79
1523974922,80,80
1523975522,80,80
1523976123,80,80
1523976721,80,80
1523977322,80,80
1523977922,80,80
1523978522,80,80
1523979122,80,80
1523979722,77,77
1523980322,76,76
1523980922,80,80
1523981522,3,3
1523982122,68,68
1523982721,80,80
1523983322,7,7
1523984522,61,61
1523985122,79,79
1523985722,80,80
1523986322,80,80
1523986922,80,80
1523987521,78,78
1523988121,80,80
1523988722,80,80
1523989322,80,80
1523989922,80,80
1523990523,80,80
1523991122,78,78
1523991722,77,77
1523992322,76,76
1523992923,77,77
1523993521,79,79
1523994122,78,78
1523994721,80,80
1523995322,80,80
1523995922,80,80
1523996521,80,80
1523997121,80,80
1523998322,80,80
1523999522,80,80
1524000122,66,66
1524000722,38,38
1524001322,74,74
1524001923,80,80
1524002522,80,80
1524003121,80,80
1524003722,80,80
1524004322,80,80
1524004922,79,79
1524005522,80,80
1524006122,77,77
1524006722,39,39
1524007322,80,80
1524007922,80,80
1524008522,80,80
1524009122,80,80
1524009722,80,80
1524010322,80,80
1524010922,75,75
1524012122,67,67
1524012721,80,80
1524013322,80,80
1524013923,80,80
1524015121,80,80
1524016321,80,80
1524016922,80,80
1524017522,80,80
1524018122,80,80
1524018721,80,80
1524019322,80,80
1524019921,76,76
1524020522,80,80
1524021122,78,78
1524021721,78,78
1524022322,80,80
1524022923,55,55
1524023522,77,77
1524024121,80,80
1524025321,80,80
1524025921,76,76
1524026523,74,74
1524027122,80,80
1524027721,80,80
1524028321,41,41
1524028922,76,76
1524030122,60,60
1524030722,77,77
1524031322,80,80
1524031922,80,80
1524032522,80,80
1524033122,75,75
1524033721,80,80
1524034321,80,80
1524034921,35,35
1524035521,80,80
1524036122,80,80
1524036722,80,80
1524037322,69,69
1524037922,80,80
1524038521,80,80
1524039122,20,20
1524039721,76,76
1524040321,80,80
1524040922,80,80
1524041522,78,78
1524042122,80,80
1524042722,79,79
1524043922,80,80
1524044522,79,79
1524045122,80,80
1524045721,80,80
1524046322,80,80
1524046922,78,78
1524047522,80,80
1524048121,80,80
1524048722,80,80
1524049322,80,80
1524049922,79,79
1524050522,80,80
1524051121,80,80
1524051721,45,45
1524052322,80,80
1524052921,80,80
1524053521,80,80
1524054123,80,80
1524054722,80,80
1524055321,80,80
1524055922,80,80
1524056521,80,80
1524057122,78,78
1524057722,80,80
1524058322,79,79
1524058921,15,15
1524059522,73,73
1524060122,80,80
1524060722,79,79
1524061321,80,80
1524061922,71,71
1524062521,80,80
1524063122,80,80
1524063722,80,80
1524064922,79,79
1524065522,80,80
1524066122,80,80
1524066721,80,80
1524067321,80,80
1524067921,80,80
1524068522,80,80
1524069121,80,80
1524069721,80,80
