DateTime,AddedIPs,RemovedIPs
1523694122,2,0
1523694721,0,4
1523695323,2,1
1523695922,4,0
1523697121,0,4
1523700122,1,0
1523702522,0,6
1523703722,3,1
1523704322,12,0
1523704922,0,1
1523706122,0,3
1523707322,1,0
1523708522,8,2
1523709121,23,0
1523709722,11,0
1523710322,0,3
1523710922,5,1
1523711522,1,0
1523712122,1,0
1523713322,1,0
1523714522,0,2
1523715722,3,0
1523716321,5,4
1523716922,1,0
1523717521,1,1
1523718122,13,0
1523719922,0,3
1523721121,0,2
1523721722,1,0
1523722922,8,0
1523723522,11,2
1523724122,4,1
1523725322,1,7
1523725921,11,0
1523727121,0,3
1523727721,2,2
1523729521,2,0
1523730122,2,0
1523730722,3,0
1523731322,1,0
1523731922,1,0
1523732522,0,2
1523733122,5,0
1523733721,3,0
1523734921,1,0
1523736122,0,1
1523737322,0,5
1523738522,2,0
1523739122,2,1
1523740921,1,0
1523741522,2,0
1523742122,0,5
1523743321,1,3
1523746922,5,0
1523747522,1,0
1523748722,0,1
1523752922,2,1
1523753522,0,1
1523755321,2,0
1523758322,0,5
1523760722,6,1
1523761321,0,5
1523761921,1,0
1523764921,2,0
1523766122,4,0
1523767322,0,1
1523769722,0,3
1523770321,5,0
1523770921,0,1
1523773322,0,1
1523773922,0,4
1523775722,1,0
1523776322,3,5
1523776921,2,0
1523777521,14,0
1523779321,0,1
1523781723,1,0
1523782921,3,3
1523784121,0,4
1523784721,1,0
1523785321,0,1
1523786521,1,2
1523788321,1,1
1523790121,0,9
1523790721,1,0
1523791322,0,1
1523791922,1,1
1523792521,0,2
1523794323,5,0
1523797922,1,3
1523800921,2,3
1523802722,0,3
1523803921,1,1
1523805722,0,2
1523806923,4,1
1523807522,5,0
1523808121,2,3
1523809322,0,2
1523814122,1,0
1523818322,3,2
1523818922,0,5
1523820722,4,4
1523823122,1,0
1523823722,1,0
1523826721,1,2
1523827323,2,1
1523827921,6,0
1523829722,1,0
1523830322,3,0
1523830922,2,0
1523831522,3,0
1523832122,1,2
1523833322,1,0
1523834522,1,0
1523835121,2,2
1523835721,4,0
1523836322,2,3
1523837522,2,1
1523841124,0,1
1523841722,2,0
1523842322,2,0
1523844122,0,1
1523845321,1,1
1523847121,4,0
1523847722,0,1
1523848323,2,0
1523848922,0,1
1523850122,0,3
1523851922,0,1
1523852523,1,1
1523853122,1,0
1523853722,0,1
1523854921,1,2
1523856122,1,2
1523859122,1,0
1523860322,1,0
1523860922,1,0
1523863322,0,1
1523863922,3,0
1523864521,4,3
1523865722,0,1
1523867522,0,2
1523868121,0,1
1523869322,1,0
1523869922,4,0
1523870521,1,0
1523871722,2,0
1523872922,0,1
1523874122,1,0
1523874721,0,2
1523875922,3,0
1523877121,0,1
1523880721,6,0
1523881321,2,0
1523882522,1,1
1523883721,0,3
1523884921,1,8
1523886122,0,2
1523886721,0,2
1523887323,2,0
1523887922,3,0
1523888522,2,6
1523889722,2,0
1523890922,0,1
1523892122,0,1
1523893922,1,1
1523894521,0,7
1523895122,1,0
1523895722,1,6
1523896322,7,1
1523898722,0,1
1523900522,1,2
1523901122,2,0
1523901722,7,1
1523902321,1,0
1523902921,0,1
1523904121,2,1
1523905322,0,1
1523908321,1,0
1523913122,0,3
1523914322,1,0
1523914921,0,1
1523916121,1,0
1523916722,1,0
1523918521,0,4
1523919122,3,0
1523919721,1,0
1523920922,1,0
1523921521,1,0
1523922122,1,0
1523924522,1,0
1523925122,1,1
1523926322,0,5
1523926922,0,5
1523928122,0,1
1523928723,2,0
1523929322,2,0
1523929922,4,0
1523930521,1,0
1523931121,0,1
1523934722,1,0
1523935322,2,1
1523935922,3,4
1523940722,12,0
1523941921,0,1
1523942521,1,0
1523943121,0,2
1523944922,1,0
1523945522,1,0
1523946121,1,1
1523946723,2,0
1523947321,1,0
1523948522,0,1
1523949122,0,1
1523951523,1,4
1523952721,0,2
1523953323,2,17
1523953921,4,0
1523955121,2,0
1523956322,0,2
1523957521,0,1
1523958722,1,0
