DateTime,Entries,UniqueIPs
1523692922,982,1018
1523694122,984,1020
1523694721,980,1016
1523695323,981,1017
1523695922,985,1021
1523697121,981,1017
1523700122,982,1018
1523702522,976,1012
1523703722,978,1014
1523704322,990,1026
1523704922,989,1025
1523706122,986,1022
1523707322,987,1023
1523708522,993,1029
1523709121,1016,1052
1523709722,1027,1063
1523710322,1024,1060
1523710922,1028,1064
1523711522,1029,1065
1523712122,1030,1066
1523713322,1031,1067
1523714522,1029,1065
1523715722,1032,1068
1523716321,1033,1069
1523716922,1034,1070
1523717521,1034,1070
1523718122,1047,1083
1523719922,1044,1080
1523721121,1042,1078
1523721722,1043,1079
1523722922,1051,1087
1523723522,1060,1096
1523724122,1063,1099
1523725322,1057,1093
1523725921,1068,1104
1523727121,1065,1101
1523727721,1065,1101
1523729521,1067,1103
1523730122,1069,1105
1523730722,1072,1108
1523731322,1073,1109
1523731922,1074,1110
1523732522,1072,1108
1523733122,1077,1113
1523733721,1080,1116
1523734921,1081,1117
1523736122,1080,1116
1523737322,1075,1111
1523738522,1077,1113
1523739122,1078,1114
1523740921,1079,1115
1523741522,1081,1117
1523742122,1076,1112
1523743321,1074,1110
1523746922,1079,1115
1523747522,1080,1116
1523748722,1079,1115
1523752922,1080,1116
1523753522,1079,1115
1523755321,1081,1117
1523758322,1076,1112
1523760722,1081,1117
1523761321,1076,1112
1523761921,1077,1113
1523764921,1079,1115
1523766122,1083,1119
1523767322,1082,1118
1523769722,1079,1115
1523770321,1084,1120
1523770921,1083,1119
1523773322,1082,1118
1523773922,1078,1114
1523775722,1079,1115
1523776322,1077,1113
1523776921,1078,1115
1523777521,1090,1129
1523779321,1089,1128
1523781723,1090,1129
1523782921,1090,1129
1523784121,1086,1125
1523784721,1087,1126
1523785321,1086,1125
1523786521,1085,1124
1523788321,1085,1124
1523790121,1076,1115
1523790721,1077,1116
1523791322,1076,1115
1523791922,1076,1115
1523792521,1074,1113
1523794323,1079,1118
1523797922,1077,1116
1523800921,1076,1115
1523802722,1073,1112
1523803921,1073,1112
1523805722,1071,1110
1523806923,1074,1113
1523807522,1079,1118
1523808121,1078,1117
1523809322,1076,1115
1523814122,1077,1116
1523818322,1078,1117
1523818922,1073,1112
1523820722,1073,1112
1523823122,1074,1113
1523823722,1075,1114
1523826721,1074,1113
1523827323,1075,1114
1523827921,1081,1120
1523829722,1082,1121
1523830322,1085,1124
1523830922,1087,1126
1523831522,1090,1129
1523832122,1089,1128
1523833322,1090,1129
1523834522,1091,1130
1523835121,1091,1130
1523835721,1095,1134
1523836322,1094,1133
1523837522,1095,1134
1523841124,1094,1133
1523841722,1096,1135
1523842322,1098,1137
1523844122,1097,1136
1523845321,1097,1136
1523847121,1101,1140
1523847722,1100,1139
1523848323,1102,1141
1523848922,1101,1140
1523850122,1098,1137
1523851922,1097,1136
1523852523,1097,1136
1523853122,1098,1137
1523853722,1097,1136
1523854921,1096,1135
1523856122,1095,1134
1523859122,1096,1135
1523860322,1097,1136
1523860922,1098,1137
1523863322,1097,1136
1523863922,1100,1139
1523864521,1101,1140
1523865722,1100,1139
1523867522,1098,1137
1523868121,1097,1136
1523869322,1098,1137
1523869922,1102,1141
1523870521,1103,1142
1523871722,1105,1144
1523872922,1104,1143
1523874122,1105,1144
1523874721,1103,1142
1523875922,1106,1145
1523877121,1105,1144
1523880721,1111,1150
1523881321,1113,1152
1523882522,1113,1152
1523883721,1110,1149
1523884921,1103,1142
1523886122,1101,1140
1523886721,1099,1138
1523887323,1101,1140
1523887922,1104,1143
1523888522,1100,1139
1523889722,1102,1141
1523890922,1101,1140
1523892122,1100,1139
1523893922,1100,1139
1523894521,1093,1132
1523895122,1094,1133
1523895722,1089,1128
1523896322,1095,1134
1523898722,1094,1133
1523900522,1093,1132
1523901122,1095,1134
1523901722,1101,1140
1523902321,1102,1141
1523902921,1101,1140
1523904121,1102,1141
1523905322,1101,1140
1523908321,1102,1141
1523913122,1099,1138
1523914322,1100,1139
1523914921,1099,1138
1523916121,1100,1139
1523916722,1100,1140
1523918521,1096,1136
1523919122,1099,1139
1523919721,1100,1140
1523920922,1101,1141
1523921521,1102,1142
1523922122,1103,1143
1523924522,1104,1144
1523925122,1104,1144
1523926322,1099,1139
1523926922,1094,1134
1523928122,1093,1133
1523928723,1095,1135
1523929322,1097,1137
1523929922,1101,1141
1523930521,1102,1142
1523931121,1101,1141
1523934722,1102,1142
1523935322,1103,1143
1523935922,1102,1142
1523940722,1114,1154
1523941921,1113,1153
1523942521,1114,1154
1523943121,1112,1152
1523944922,1113,1153
1523945522,1114,1154
1523946121,1114,1154
1523946723,1116,1156
1523947321,1117,1157
1523948522,1116,1156
1523949122,1115,1155
1523951523,1118,1152
1523952721,1116,1150
1523953323,1102,1135
1523953921,1106,1139
1523955121,1108,1141
1523956322,1106,1139
1523957521,1105,1138
1523958722,1106,1139
1523959322,1105,1138
1523959921,1107,1140
1523960522,1108,1141
1523961122,1110,1144
1523961722,1109,1137
1523962922,1110,1137
1523963522,1109,1135
1523964122,1109,1134
1523965321,1109,1134
1523965922,1110,1135
1523966522,1111,1136
1523967122,1109,1134
1523967721,1110,1135
1523968322,1114,1137
1523968921,1112,1134
1523969522,1113,1135
1523970121,1114,1136
1523970721,1113,1135
1523971321,1111,1133
1523973122,1112,1134
1523973721,1109,1131
1523974922,1108,1130
1523976123,1108,1130
