DateTime,AddedIPs,RemovedIPs
1522131610,1,1
1522138810,5,1
1522146005,4,5
1522152363,0,7
1522153207,10,4
1522156811,0,3
1522160419,1,3
1522164915,0,1
1522168510,1,5
1522171217,0,1
1522174808,6,3
1522182011,6,2
1522185613,0,1
1522189213,5,2
1522190120,1,0
1522191010,1,0
1522196409,8,2
1522198211,1,0
1522204514,2,9
1522210804,6,6
1522218011,4,3
1522225217,4,6
1522233313,21,5
1522239607,13,8
1522243209,0,7
1522246814,3,3
1522254014,3,10
1522261215,46,7
1522268420,5,3
1522275622,4,0
1522278320,1,0
1522282813,3,2
1522290013,1,9
1522297210,6,1
1522304407,5,6
1522308014,0,1
1522311612,4,5
1522319714,6,3
1522325162,0,3
1522325993,51,1
1522330384,0,118
1522332184,1,0
1522333089,3,0
1522340283,4,4
1522347480,6,5
1522353786,1,0
1522354688,6,2
1522359323,14,1
1522360219,1,0
1522362018,1,3
1522369218,2,1
1522372815,1,0
1522376421,4,5
1522383615,4,5
1522390819,4,5
1522398016,1,1
1522405217,4,5
1522411515,14,0
1522412413,2,11
1522419607,1,1
1522426809,3,2
1522434016,5,4
1522441217,1,3
1522446612,2,0
1522448421,1,3
1522449321,1,0
1522452011,1,0
1522452929,1,0
1522455625,3,2
1522457423,1,1
1522458309,4,0
1522461023,1,0
1522462811,2,9
1522470017,5,5
1522477213,3,6
1522484427,3,4
1522491617,7,3
1522495210,1,0
1522498052,0,17
1522498954,3,3
1522502423,14,1
1522506017,2,3
1522509617,0,1
1522513223,4,40
1522521317,3,5
1522524014,0,1
1522525815,1,0
1522527614,4,4
1522528517,1,0
1522534833,1,1
1522537525,1,0
1522542017,1,4
1522543819,1,0
1522549213,16,7
1522550129,1,0
1522553718,0,1
1522556417,4,6
1522560031,0,1
1522563627,6,4
1522566317,1,0
1522570832,8,7
1522578014,2,2
1522584326,0,12
1522585216,4,3
1522587017,0,1
1522588819,0,1
1522591524,7,0
1522592434,3,4
1522599627,8,3
1522603227,0,1
1522606838,3,5
1522613126,1,0
1522614023,5,0
1522621232,5,3
1522628423,7,2
1522629324,1,0
1522630228,2,0
1522631125,1,0
1522632026,1,0
1522632920,3,0
1522635619,2,11
