DateTime,AddedIPs,RemovedIPs
1522144996,1,0
1522148536,2,10
1522152196,1,0
1522159397,0,2
1522162937,1,0
1522166537,0,3
1522170198,2,3
1522173797,3,0
1522177338,3,1
1522178177,2,1
1522184597,3,0
1522191797,0,1
1522195397,7,0
1522198997,1,1
1522202597,1,0
1522206199,1,1
1522209798,3,4
1522213397,0,2
1522216997,2,0
1522220597,1,2
1522224138,3,1
1522227464,3,0
1522227764,0,1
1522231363,3,4
1522235023,0,4
1522239283,1,1
1522242224,0,2
1522245764,2,1
1522249363,1,0
1522253024,1,1
1522256563,4,2
1522260164,39,2
1522263764,2,2
1522267364,2,2
1522270989,1,0
1522274585,1,2
1522278181,1,1
1522281840,1,0
1522285373,0,1
1522289025,1,0
1522292624,2,1
1522296164,3,0
1522299788,0,9
1522303364,4,0
1522306965,0,6
1522309424,4,0
1522312716,1,1
1522317757,0,3
1522321416,4,1
1522323936,1,6
1522328558,2,0
1522332156,0,1
1522335757,1,0
1522339356,2,0
1522343016,2,3
1522346556,4,0
1522350157,3,1
1522353758,1,0
1522357356,0,1
1522361016,1,2
1522364556,1,0
1522368157,1,0
1522371757,1,2
1522375418,2,0
1522379018,1,3
1522382557,2,0
1522386157,3,6
1522389757,1,0
1522393418,0,1
1522396957,0,3
1522400618,1,0
1522404218,3,2
1522407757,0,2
1522411358,1,2
1522418618,1,2
1522422219,2,0
1522425757,1,0
1522429357,2,1
1522432957,1,5
1522440158,0,2
1522443817,1,4
1522451017,1,1
1522454618,1,0
1522461758,1,2
1522468957,4,4
1522472558,1,0
1522476158,2,5
1522479818,2,0
1522483418,1,7
1522487018,3,0
1522490558,3,3
1522494278,1,3
1522497758,1,1
1522501359,1,0
1522504958,0,3
1522512160,2,7
1522515818,3,0
1522522959,1,2
1522526618,1,1
1522530218,0,1
1522537358,1,1
1522544559,0,1
1522548158,1,3
1522551759,1,0
1522555360,2,7
1522558959,2,0
1522562559,3,4
1522566160,2,0
1522569820,4,3
1522573419,1,2
1522580560,1,5
1522587760,3,2
1522591359,0,2
1522594960,1,5
1522598560,1,1
1522602221,0,2
1522605760,3,1
1522606419,1,0
1522612959,1,0
1522616560,1,0
1522620159,3,3
1522623760,2,1
1522627360,0,1
1522630959,0,1
1522634620,2,0
1522638220,3,1
1522641999,4,5
1522645359,3,0
1522648960,1,5
