DateTime,AddedIPs,RemovedIPs
1522321416,4,3
1522323936,2,0
1522328558,3,2
1522332156,0,2
1522335757,2,1
1522339356,2,3
1522343016,2,41
1522346556,4,3
1522350157,3,4
1522353758,2,2
1522357356,1,1
1522361016,1,1
1522364556,2,0
1522368157,1,1
1522371757,1,1
1522375418,2,3
1522379018,1,2
1522382557,2,3
1522386157,3,3
1522389757,1,3
1522393418,0,4
1522396957,0,1
1522400618,4,3
1522404218,3,4
1522411358,2,2
1522414957,0,2
1522418618,1,2
1522422219,2,1
1522425757,3,0
1522429357,3,1
1522432957,1,2
1522436617,0,3
1522440158,1,1
1522443817,1,1
1522451017,3,1
1522454618,1,1
1522458218,1,0
1522461758,1,1
1522465419,0,3
1522468957,4,8
1522472558,1,4
1522476158,2,4
1522479818,2,1
1522483418,1,3
1522487018,3,0
1522490558,5,4
1522494278,1,1
1522497758,1,4
1522501359,1,0
1522504958,1,2
1522508619,0,3
1522512160,3,5
1522515818,4,3
1522519420,0,3
1522522959,2,0
1522526618,2,3
1522537358,1,1
1522540959,1,0
1522544559,2,2
1522548158,17,0
1522551759,1,1
1522555360,2,3
1522558959,2,2
1522562559,4,4
1522566160,2,3
1522569820,5,3
1522573419,3,3
1522576959,0,2
1522580560,1,1
1522584159,1,1
1522587760,5,4
1522591359,1,0
1522594960,1,1
1522598560,4,2
1522602221,1,1
1522605760,3,1
1522606419,3,2
1522612959,2,0
1522616560,1,1
1522620159,4,1
1522623760,3,3
1522634620,2,2
1522638220,5,2
1522641999,5,6
1522645359,4,0
1522648960,1,2
1522652561,1,2
1522656160,1,0
1522659820,0,1
1522663360,2,2
1522666961,3,1
1522670560,2,7
1522674222,4,0
1522677821,4,2
1522681361,2,1
1522685021,2,2
1522688561,2,2
1522692221,0,2
1522695821,2,3
1522699360,1,3
1522702961,1,3
1522706621,1,0
1522710221,1,2
1522717361,0,1
1522720962,2,0
1522724560,0,2
1522728160,6,9
1522731761,2,1
1522735361,4,4
1522738961,1,3
1522742562,2,1
1522746221,0,1
1522749821,4,2
1522753361,0,2
1522757021,0,1
1522760561,3,2
1522764221,2,1
1522767822,1,0
1522771423,2,1
1522774963,2,1
1522778562,2,0
1522782162,3,2
1522785761,2,4
1522789362,4,1
1522792962,0,3
1522796621,3,1
1522800163,1,2
1522803763,0,2
1522807361,2,1
1522810963,2,3
1522814561,4,7
1522818161,3,4
1522821762,1,2
1522825362,0,2
1522828962,2,2
1522832623,3,1
1522836162,1,2
1522839763,3,3
1522843362,1,1
1522847023,2,3
1522850563,1,0
1522854223,3,2
1522857763,4,1
1522861363,0,3
1522864963,1,0
1522868563,4,4
1522872162,3,1
1522879423,2,6
1522883022,3,4
1522886742,4,1
1522890222,0,1
1522893823,2,1
1522897362,2,3
1522900963,3,3
1522904563,1,0
1522908164,2,1
1522911764,1,2
1522915424,2,3
1522918964,6,0
1522922564,2,5
1522926163,1,1
1522929764,2,1
1522933364,2,0
1522936963,1,1
1522940564,2,1
1522944164,2,4
1522947764,1,3
1522951364,0,1
1522954965,2,0
1522958564,2,1
1522962164,2,1
1522965763,1,0
1522972964,1,2
1522976564,1,2
1522983764,2,1
1522987363,3,4
1522990964,0,2
1522994564,3,4
1522998164,3,4
1523001763,2,1
1523005364,2,1
1523008964,3,2
1523012564,3,0
1523016164,2,2
1523019824,2,3
1523023424,2,5
1523026965,1,4
1523030564,5,4
1523034164,4,1
1523041365,0,1
1523044965,5,6
1523048625,1,1
1523055765,1,0
1523059365,1,2
1523063025,1,1
1523069504,3,3
1523070164,0,1
1523073826,1,3
1523077364,2,2
1523081024,3,3
1523084625,1,1
1523088224,2,5
1523091765,3,3
1523095365,1,2
1523099025,1,2
1523102565,1,1
1523106174,2,1
1523109766,1,0
1523113365,1,2
1523116967,2,1
1523120565,2,2
1523124225,3,1
1523127765,0,4
1523131365,0,2
1523134966,2,0
1523138625,0,2
1523142166,1,1
1523145765,2,1
1523149426,1,1
1523152966,1,3
1523156565,1,4
1523160166,2,1
1523163766,2,4
1523167366,2,2
1523170966,4,2
1523174566,3,5
1523178226,1,2
1523181766,1,0
1523185365,4,0
1523185726,0,1
1523196166,0,1
1523199766,1,2
1523203366,5,2
1523206966,0,2
1523210626,1,1
1523214167,4,4
1523217767,4,5
1523221367,1,1
1523228627,2,2
1523232167,2,1
1523235766,3,0
1523239367,1,2
1523242967,1,2
1523246566,6,8
1523250167,2,2
1523253768,3,4
1523257366,1,2
1523260966,2,3
1523264568,0,1
1523268167,3,2
1523271766,3,2
1523275369,2,0
1523278967,1,0
1523282567,2,2
1523286168,1,1
1523289828,1,2
1523293367,5,5
1523296968,2,0
1523300568,2,4
1523304168,1,3
1523307767,2,1
1523311368,2,2
1523314969,0,1
1523318568,1,3
1523322168,0,1
1523325768,2,1
1523329368,5,4
1523332968,3,3
1523336567,5,3
1523340168,0,1
