DateTime,AddedIPs,RemovedIPs
1519886213,7,0
1519890030,9,9
1519893874,6,11
1519897727,4,5
1519901563,0,5
1519905404,0,7
1519909257,3,1
1519913087,10,10
1519916922,5,3
1519920781,2,15
1519924826,0,5
1519928682,2,2
1519932528,30,24
1519936354,12,9
1519940209,16,12
1519944488,21,9
1519948336,1,0
1519952178,2,1
1519956016,3,3
1519959856,7,0
1519963748,6,0
1519967553,2,1
1519975007,4,2
1519978825,1,2
1519982925,5,5
1519998272,2,0
1520002109,0,2
1520005937,5,5
1520013617,3,2
1520017467,3,1
1520029240,1,0
1520033081,2,3
1520036903,9,4
1520040747,17,16
1520044584,10,7
1520048445,22,24
1520052265,17,12
1520056138,24,12
1520059961,14,11
1520120501,27,44
1520124261,3,13
1520128367,4,11
1520132192,0,20
1520136045,5,15
1520139889,33,40
1520143752,8,15
1520147544,1,2
1520151644,1,5
1520155479,6,3
1520159309,14,2
1520163164,10,1
1520167010,13,16
1520170833,11,10
1520174688,6,8
1520178536,34,1
1520182599,14,3
1520186446,6,3
1520190297,30,6
1520194104,13,16
1520197957,10,16
1520201810,13,21
1520206331,1,7
1520210439,2,17
1520214271,11,19
1520218100,9,11
1520225792,30,33
1520229672,12,2
1520233728,10,4
1520237570,5,4
1520241413,6,14
1520245243,4,11
1520249067,1,0
1520252922,3,0
1520256765,5,6
1520260834,8,6
1520264662,6,17
1520268770,10,4
1520272614,15,9
1520276707,8,13
1520280524,2,7
1520284802,15,8
1520288662,16,4
1520292500,10,4
1520296358,16,2
1520300441,4,5
1520304286,5,0
1520308112,9,7
1520311949,10,7
1520315806,19,2
1520319663,13,2
1520323492,8,13
1520327339,1,6
1520331169,0,3
1520335005,3,3
1520338837,1,6
1520342679,1,16
1520346509,0,11
1520350351,0,11
1520354432,0,10
1520358292,3,11
1520362103,2,13
1520366365,0,1
1520370049,7,10
1520373913,25,11
1520377724,12,3
1520381561,13,5
1520385394,13,16
1520389226,9,15
1520393083,10,4
1520396923,8,1
1520400754,19,11
1520404601,8,7
1520408434,3,0
1520412277,24,32
1520416252,19,19
1520419957,2,12
1520423786,17,11
1520427624,13,9
1520431472,15,1
1520435306,10,0
1520439154,10,9
1520442989,15,14
1520446840,38,27
1520450680,20,9
1520454520,11,11
1520458368,14,21
1520462200,25,11
1520466083,7,6
1520469875,10,9
1520473986,0,6
1520477826,1,9
1520481674,3,17
1520485520,7,16
1520489350,9,9
1520493192,15,11
1520497446,12,26
1520501396,13,20
1520505164,13,16
1520509014,1,9
1520512843,5,7
1520516674,6,5
1520520770,1,5
1520524824,0,16
1520528690,4,19
1520532529,1,2
1520536616,9,0
1520540444,7,7
1520544279,15,2
1520548124,7,2
1520556056,21,20
1520559892,6,8
1520563741,8,4
1520567591,13,2
1520571411,16,2
1520575242,9,2
1520579088,10,4
1520582928,2,5
1520587008,7,14
1520590829,14,15
1520594693,18,7
1520598506,19,6
1520602615,15,16
1520606418,8,9
1520610198,8,5
1520613885,1,6
1520617707,4,10
1520621559,12,17
1520625657,9,7
1520629743,6,10
1520633582,5,15
1520637394,2,22
1520641226,13,10
1520645073,1,3
1520649183,9,1
1520652996,6,1
1520656856,12,7
1520660671,26,27
1520664506,11,2
1520672202,32,15
1520676050,17,5
1520679888,8,15
1520683761,7,29
1520687570,17,20
1520691387,8,19
1520695240,4,15
1520699084,34,32
1520702945,5,1
1520707018,6,2
1520710856,7,2
1520714698,4,1
1520718507,5,7
1520722599,7,9
1520726435,1,10
1520730522,5,2
1520734590,4,3
1520738433,6,8
1520742276,5,0
1520746113,6,5
1520750212,1,1
1520754024,1,8
1520757883,7,1
1520761698,5,0
1520765581,5,0
1520769647,1,0
1520773470,10,15
1520777304,1,2
1520781165,8,30
1520784985,11,6
1520788830,3,2
1520797011,2,2
1520800828,5,5
1520804670,11,4
1520808507,6,2
1520812551,2,1
1520816455,10,8
1520820393,4,6
1520824131,7,7
1520827979,4,7
1520831811,5,8
1520835627,7,13
1520839465,0,2
1520843569,2,8
1520847416,7,19
1520851241,2,3
1520855111,15,25
1520858946,15,26
1520862793,21,39
1520866621,8,24
1520870720,14,15
1520875385,25,17
1520879472,13,3
1520883173,13,11
1520887678,29,43
1520895434,57,44
1520899300,11,6
1520903091,15,7
1520906943,7,0
1520910754,1,1
1520914628,6,6
1520918441,9,7
1520922326,6,10
1520926128,8,7
1520929957,17,10
1520933797,7,5
1520937669,1,8
1520941620,1,10
1520945343,2,3
1520952994,35,56
1520956889,13,22
1520960705,12,15
1520964682,13,12
1520969407,29,31
1520973146,18,18
1520977230,22,30
1520981096,22,17
1520984916,18,11
1520988799,7,4
1520992588,9,3
1520996441,8,5
1523185960,26,245
1523189784,9,0
1523193631,25,0
1523197461,6,0
1523201291,5,0
1523205161,2,0
1523208980,1,0
1523212955,17,0
1523216656,37,0
1523220497,32,0
1523224357,37,0
1523228723,22,0
1523232522,9,0
1523236363,15,0
1523240441,6,0
1523244276,16,0
1523248112,6,6
1523251958,4,2
1523255800,23,32
1523259637,46,52
1523263484,35,30
1523267299,45,35
1523271158,41,42
1523275013,26,33
1523278844,34,27
1523282691,17,23
1523286533,26,30
1523290363,28,31
1523294186,19,41
1523298029,40,24
1523301886,30,29
1523305949,24,9
1523309809,8,4
1523313869,8,2
1523317714,6,3
1523325401,26,31
1523329227,29,29
1523333063,19,16
1523336744,17,19
1523340529,55,66
1523344488,45,44
1523348206,47,62
1523352218,28,32
1523356498,60,54
1523360438,46,46
1523364278,4,5
1523368121,22,21
1523375802,65,49
1523379645,47,44
1523383487,30,27
1523387561,6,9
1523391401,5,3
1523395237,1,1
1523399092,7,3
1523402897,3,4
1523406745,29,22
1523410829,35,29
1523414660,42,59
1523418500,37,53
1523422356,42,51
1523426173,47,48
1523430017,16,13
1523437592,9,5
1523441558,14,12
1523445401,5,3
1523449249,2,8
1523453074,1,6
1523457152,11,13
1523461232,10,14
1523465083,7,5
1523472748,2,0
1523476622,6,8
1523480436,8,6
1523484282,10,6
1523488132,1,1
1523492192,2,1
1523496019,4,1
1523500130,9,4
1523503945,2,2
1523507795,5,5
1523511647,3,1
1523515464,9,7
1523519307,13,10
1523523150,1,8
1523527117,1,3
1523530820,6,6
1523534674,7,3
1523538492,4,10
1523546172,6,16
1523550272,6,8
1523554103,9,10
1523557969,20,18
1523562027,27,48
1523566121,24,76
1523569950,16,26
1523574878,32,54
1523578710,6,9
1523582666,14,12
1523586524,3,0
1523590344,17,14
1523594444,9,1
1523598289,8,4
1523602128,14,10
1523605963,13,11
1523609797,10,3
1523613649,7,2
1523617466,4,4
1523621343,3,4
1523625173,13,12
1523629012,19,6
1523632980,16,4
1523637435,25,35
1523641241,9,12
1523645061,0,2
1523649187,3,0
1523653010,2,2
1523656881,4,2
1523660679,1,0
1523664538,3,1
1523668369,4,0
1523672446,2,0
1523676287,2,1
1523680123,6,2
1523683956,7,4
1523687821,3,5
1523691643,27,22
1523695466,30,45
1523699324,15,36
1523703165,30,41
1523707006,21,26
1523710872,25,34
1523714688,13,11
1523718543,1,0
1523722381,9,6
1523726213,12,5
1523730047,26,24
1523733877,18,24
1523737720,21,19
1523741555,8,15
1523749264,2,1
1523753107,5,1
1523756915,3,1
1523760786,16,18
1523764584,20,38
1523768449,19,18
1523772291,3,1
1523776127,13,7
1523780192,15,26
1523784273,25,18
1523788387,6,9
1523792454,9,9
1523796285,19,12
1523800352,15,16
1523804181,1,5
1523808072,0,2
1523811867,5,3
1523815966,7,1
