DateTime,Entries,UniqueIPs
1519886213,299,299
1519890030,299,299
1519893874,294,294
1519897727,293,293
1519901563,288,288
1519905404,281,281
1519909257,283,283
1519913087,283,283
1519916922,285,285
1519920781,272,272
1519924826,267,267
1519928682,267,267
1519932528,273,273
1519936354,276,276
1519940209,280,280
1519944488,292,292
1519948336,293,293
1519952178,294,294
1519956016,294,294
1519959856,301,301
1519963748,307,307
1519967553,308,308
1519975007,310,310
1519978825,309,309
1519982925,309,309
1519998272,311,311
1520002109,309,309
1520005937,309,309
1520013617,310,310
1520017467,312,312
1520029240,313,313
1520033081,312,312
1520036903,317,317
1520040747,318,318
1520044584,321,321
1520048445,319,319
1520052265,324,324
1520056138,336,336
1520059961,339,339
1520120501,322,322
1520124261,312,312
1520128367,305,305
1520132192,285,285
1520136045,275,275
1520139889,268,268
1520143752,261,261
1520147544,260,260
1520151644,256,256
1520155479,259,259
1520159309,271,271
1520163164,280,280
1520167010,277,277
1520170833,278,278
1520174688,276,276
1520178536,309,309
1520182599,320,320
1520186446,323,323
1520190297,347,347
1520194104,344,344
1520197957,338,338
1520201810,330,330
1520206331,324,324
1520210439,309,309
1520214271,301,301
1520218100,299,299
1520225792,296,296
1520229672,306,306
1520233728,312,312
1520237570,313,313
1520241413,305,305
1520245243,298,298
1520249067,299,299
1520252922,302,302
1520256765,301,301
1520260834,303,303
1520264662,292,292
1520268770,298,298
1520272614,304,304
1520276707,299,299
1520280524,294,294
1520284802,301,301
1520288662,313,313
1520292500,319,319
1520296358,333,333
1520300441,332,332
1520304286,337,337
1520308112,339,339
1520311949,342,342
1520315806,359,359
1520319663,370,370
1520323492,365,365
1520327339,360,360
1520331169,357,357
1520335005,357,357
1520338837,352,352
1520342679,337,337
1520346509,326,326
1520350351,315,315
1520354432,305,305
1520358292,297,297
1520362103,286,286
1520366365,285,285
1520370049,282,282
1520373913,296,296
1520377724,305,305
1520381561,313,313
1520385394,310,310
1520389226,304,304
1520393083,310,310
1520396923,317,317
1520400754,325,325
1520404601,326,326
1520408434,329,329
1520412277,321,321
1520416252,321,321
1520419957,311,311
1520423786,317,317
1520427624,321,321
1520431472,335,335
1520435306,345,345
1520439154,346,346
1520442989,347,347
1520446840,358,358
1520450680,369,369
1520454520,369,369
1520458368,362,362
1520462200,376,376
1520466083,377,377
1520469875,378,378
1520473986,372,372
1520477826,364,364
1520481674,350,350
1520485520,341,341
1520489350,341,341
1520493192,345,345
1520497446,331,331
1520501396,324,324
1520505164,321,321
1520509014,313,313
1520512843,311,311
1520516674,312,312
1520520770,308,308
1520524824,292,292
1520528690,277,277
1520532529,276,276
1520536616,285,285
1520540444,285,285
1520544279,298,298
1520548124,303,303
1520556056,304,304
1520559892,302,302
1520563741,306,306
1520567591,317,317
1520571411,331,331
1520575242,338,338
1520579088,344,344
1520582928,341,341
1520587008,334,334
1520590829,333,333
1520594693,344,344
1520598506,357,357
1520602615,356,356
1520606418,355,355
1520610198,358,358
1520613885,353,353
1520617707,347,347
1520621559,342,342
1520625657,344,344
1520629743,340,340
1520633582,330,330
1520637394,310,310
1520641226,313,313
1520645073,311,311
1520649183,319,319
1520652996,324,324
1520656856,329,329
1520660671,328,328
1520664506,337,337
1520672202,354,354
1520676050,366,366
1520679888,359,359
1520683761,337,337
1520687570,334,334
1520691387,323,323
1520695240,312,312
1520699084,314,314
1520702945,318,318
1520707018,322,322
1520710856,327,327
1520714698,330,330
1520718507,328,328
1520722599,326,326
1520726435,317,317
1520730522,320,320
1520734590,321,321
1520738433,319,319
1520742276,324,324
1520746113,325,325
1520750212,325,325
1520754024,318,318
1520757883,324,324
1520761698,329,329
1520765581,334,334
1520769647,335,335
1520773470,330,330
1520777304,329,329
1520781165,307,307
1520784985,312,312
1520788830,313,313
1520797011,313,313
1520800828,313,313
1520804670,320,320
1520808507,324,324
1520812551,325,325
1520816455,327,327
1520820393,325,325
1520824131,325,325
