DateTime,AddedIPs,RemovedIPs
1519971239,2,2
1519975009,17,24
1519978828,10,10
1519982928,20,43
1519986792,7,33
1519990614,2,16
1519994469,4,2
1519998274,3,3
1520002112,4,16
1520005942,25,41
1520009775,36,38
1520013620,38,28
1520017470,60,24
1520021314,46,6
1520025411,33,12
1520029245,48,2
1520033084,45,26
1520036909,237,223
1520040754,194,184
1520044590,240,240
1520048449,301,302
1520052273,164,164
1520056149,101,101
1520059964,130,130
1520120512,447,446
1520124269,451,451
1520128379,440,440
1520132199,450,451
1520136051,451,450
1520139895,445,446
1520143758,451,450
1520147550,450,450
1520151654,451,451
1520155486,441,441
1520159317,451,451
1520163174,450,451
1520167022,450,449
1520170840,451,451
1520174698,451,451
1520178551,371,371
1520182607,450,450
1520186457,378,378
1520190303,386,386
1520194113,451,451
1520197964,441,441
1520201814,451,451
1520206337,451,451
1520210442,451,451
1520214280,357,357
1520218111,339,340
1520225797,450,449
1520229688,446,446
1520233733,438,438
1520237577,446,446
1520241420,450,450
1520245253,451,451
1520249074,450,451
1520252931,450,450
1520256772,449,448
1520260840,310,310
1520264668,278,278
1520268775,264,264
1520272628,169,169
1520276715,386,391
1520280530,443,439
1520284807,369,371
1520288667,379,376
1520292513,416,416
1520296363,291,291
1520300446,219,219
1520304291,218,218
1520308121,282,282
1520311956,328,328
1520315820,300,300
1520319681,224,224
1520323498,285,286
1520327347,438,437
1520331175,451,451
1520335011,451,451
1520338844,451,451
1520342691,451,451
1520346523,312,312
1520350364,275,275
1520354438,269,269
1520358306,379,379
1520362117,451,451
1520366371,450,450
1520370060,451,451
1520373921,381,381
1520377732,377,377
1520381573,308,308
1520385404,271,272
1520389237,318,319
1520393090,367,365
1520396942,353,354
1520400762,401,400
1520404616,371,373
1520408441,267,268
1520412286,163,162
1520416267,266,264
1520419977,285,285
1520423794,294,294
1520427635,257,258
1520431485,449,450
1520435314,396,394
1520439165,363,365
1520443001,338,336
1520446846,129,131
1520450690,192,193
1520454527,290,291
1520458375,295,292
1520462220,408,407
1520466104,359,359
1520469883,412,412
1520474007,451,451
1520477840,451,451
1520481691,403,403
1520485530,313,314
1520489367,260,264
1520493214,297,294
1520497458,418,416
1520501411,412,412
1520505173,363,363
1520509034,411,411
1520512849,447,449
1520516681,448,448
1520520777,451,449
1520524833,450,451
1520528696,445,446
1520532537,411,410
1520536628,293,294
1520540452,236,235
1520544293,255,255
1520548137,162,162
1520556072,450,449
1520559908,349,350
1520563757,263,262
1520567613,285,288
1520571423,401,398
1520575249,249,250
1520579095,244,245
1520582935,181,181
1520587016,321,319
1520590841,410,410
1520594708,450,451
1520598519,266,267
1520602632,288,292
1520606427,299,293
1520610213,420,420
1520613891,451,451
1520617720,451,451
1520621576,449,449
1520625693,448,448
1520629761,447,449
1520633602,268,267
1520637401,251,250
1520641233,272,274
1520645080,383,381
1520649197,451,451
1520653006,451,451
1520656865,451,451
1520660685,400,401
1520664513,423,422
1520672211,451,451
1520676070,384,384
1520679901,406,407
1520683783,442,442
1520687584,411,410
1520691395,359,359
1520695247,149,149
1520699092,226,226
1520702971,120,120
1520707045,109,109
1520710874,237,237
1520714716,257,258
1520718515,184,183
1520722605,70,71
1520726442,77,78
1520730525,23,24
