DateTime,Entries,UniqueIPs
1519971239,353,353
1519975009,346,346
1519978828,346,346
1519982928,323,323
1519986792,297,297
1519990614,283,283
1519994469,285,285
1519998274,285,285
1520002112,273,273
1520005942,257,257
1520009775,255,255
1520013620,265,265
1520017470,301,301
1520021314,341,341
1520025411,362,362
1520029245,408,408
1520033084,427,427
1520036909,441,441
1520040754,451,451
1520044590,451,451
1520048449,450,450
1520052273,450,450
1520056149,450,450
1520059964,450,450
1520120512,451,451
1520124269,451,451
1520128379,451,451
1520132199,450,450
1520136051,451,451
1520139895,450,450
1520143758,451,451
1520147550,451,451
1520151654,451,451
1520155486,451,451
1520159317,451,451
1520163174,450,450
1520167022,451,451
1520170840,451,451
1520174698,451,451
1520178551,451,451
1520182607,451,451
1520186457,451,451
1520190303,451,451
1520194113,451,451
1520197964,451,451
1520201814,451,451
1520206337,451,451
1520210442,451,451
1520214280,451,451
1520218111,450,450
1520225797,451,451
1520229688,451,451
1520233733,451,451
1520237577,451,451
1520241420,451,451
1520245253,451,451
1520249074,450,450
1520252931,450,450
1520256772,451,451
1520260840,451,451
1520264668,451,451
1520268775,451,451
1520272628,451,451
1520276715,446,446
1520280530,450,450
1520284807,448,448
1520288667,451,451
1520292513,451,451
1520296363,451,451
1520300446,451,451
1520304291,451,451
1520308121,451,451
1520311956,451,451
1520315820,451,451
1520319681,451,451
1520323498,450,450
1520327347,451,451
1520331175,451,451
1520335011,451,451
1520338844,451,451
1520342691,451,451
1520346523,451,451
1520350364,451,451
1520354438,451,451
1520358306,451,451
1520362117,451,451
1520366371,451,451
1520370060,451,451
1520373921,451,451
1520377732,451,451
1520381573,451,451
1520385404,450,450
1520389237,449,449
1520393090,451,451
1520396942,450,450
1520400762,451,451
1520404616,449,449
1520408441,448,448
1520412286,449,449
1520416267,451,451
1520419977,451,451
1520423794,451,451
1520427635,450,450
1520431485,449,449
1520435314,451,451
1520439165,449,449
1520443001,451,451
1520446846,449,449
1520450690,448,448
1520454527,447,447
1520458375,450,450
1520462220,451,451
1520466104,451,451
1520469883,451,451
1520474007,451,451
1520477840,451,451
1520481691,451,451
1520485530,450,450
1520489367,446,446
1520493214,449,449
1520497458,451,451
1520501411,451,451
1520505173,451,451
1520509034,451,451
1520512849,449,449
1520516681,449,449
1520520777,451,451
1520524833,450,450
1520528696,449,449
1520532537,450,450
1520536628,449,449
1520540452,450,450
1520544293,450,450
1520548137,450,450
1520556072,451,451
1520559908,450,450
1520563757,451,451
1520567613,448,448
1520571423,451,451
1520575249,450,450
1520579095,449,449
1520582935,449,449
1520587016,451,451
1520590841,451,451
1520594708,450,450
1520598519,449,449
1520602632,445,445
1520606427,451,451
1520610213,451,451
1520613891,451,451
1520617720,451,451
1520621576,451,451
1520625693,451,451
1520629761,449,449
1520633602,450,450
1520637401,451,451
1520641233,449,449
1520645080,451,451
1520649197,451,451
1520653006,451,451
1520656865,451,451
1520660685,450,450
1520664513,451,451
1520672211,451,451
