DateTime,AddedIPs,RemovedIPs
1519826205,6,0
1519830045,5,0
1519837727,9,0
1519841654,3,0
1519847585,10,0
1519851399,2,0
1519855243,1,0
1519859101,7,0
1519867031,4,0
1519870863,1,0
1519874715,2,0
1519878690,2,0
1519882384,5,0
1519886232,2,0
1519890049,8,0
1519893894,2,0
1519897746,4,0
1519905444,5,0
1519909305,1,0
1519913101,8,0
1519916934,3,0
1519920817,6,0
1519924838,2,0
1519928694,5,0
1519932565,3,0
1519936397,6,0
1519940241,4,0
1519944514,2,0
1519948357,1,0
1519952189,1,0
1519956033,2,0
1519959871,1,0
1519963763,2,0
1519967564,1,0
1519971248,4,0
1519975018,6,0
1519978841,1,0
1519982938,6,0
1519986803,3,0
1519990630,5,0
1519994487,2,1
1520002123,2,2
1520005952,8,6
1520009786,3,1
1520013635,0,1
1520017483,6,5
1520021325,3,2
1520025424,1,1
1520029256,4,2
1520033095,1,0
1520036926,2,0
1520040776,3,0
1520044616,5,3
1520048468,4,1
1520052289,1,2
1520056189,2,2
1520059977,1,6
1520120558,14,20
1520124299,2,3
1520128428,0,1
1520132220,4,1
1520136078,6,5
1520139919,2,1
1520143775,2,0
1520147571,8,4
1520155511,7,5
1520159352,3,4
1520163209,2,1
1520167074,1,0
1520170862,9,9
1520174732,3,2
1520178605,4,1
1520182647,3,2
1520186491,4,0
1520190330,5,4
1520194136,2,2
1520197990,1,0
1520201833,1,2
1520206355,4,4
1520210462,0,1
1520214314,4,6
1520218140,2,3
1520225825,2,6
1520229742,1,1
1520233754,6,4
1520241440,2,6
1520245289,2,1
1520249101,4,6
1520252963,2,3
1520256798,6,4
1520260862,6,2
1520264689,3,1
1520268797,4,1
1520272670,6,8
1520276742,5,10
1520280575,2,2
1520284837,2,5
1520288701,0,1
1520292550,2,5
1520296386,2,3
1520300468,1,6
1520304313,4,0
1520308154,0,3
1520315863,1,2
1520319749,2,4
1520323523,1,3
1520327373,1,4
1520331199,3,3
1520335043,2,5
1520338869,3,1
1520342739,1,4
1520346550,1,3
1520350400,1,0
1520354460,0,3
1520362170,2,3
1520366401,6,6
1520370133,0,2
1520373961,0,1
1520377764,3,0
1520381620,2,3
1520385443,1,1
1520389266,5,1
1520393121,1,4
1520397015,1,3
1520400795,4,3
1520404659,4,2
1520408473,2,5
1520412342,2,3
1520416323,6,7
1520420042,1,2
1520423832,5,7
1520427694,2,6
1520431530,4,12
1520435346,2,1
1520439207,6,3
1520443038,2,5
1520446880,5,4
1520450734,5,3
1520454556,2,1
1520458402,4,3
1520462290,0,1
1520466186,6,5
1520474087,1,1
1520477892,1,0
1520481759,2,2
1520485566,1,1
1520489408,3,5
1520493294,5,3
1520497498,3,8
