DateTime,Entries,UniqueIPs
1519826205,66,66
1519830045,71,71
1519837727,80,80
1519841654,83,83
1519847585,93,93
1519851399,95,95
1519855243,96,96
1519859101,103,103
1519867031,107,107
1519870863,108,108
1519874715,110,110
1519878690,112,112
1519882384,117,117
1519886232,119,119
1519890049,127,127
1519893894,129,129
1519897746,133,133
1519905444,138,138
1519909305,139,139
1519913101,147,147
1519916934,150,150
1519920817,156,156
1519924838,158,158
1519928694,163,163
1519932565,166,166
1519936397,172,172
1519940241,176,176
1519944514,178,178
1519948357,179,179
1519952189,180,180
1519956033,182,182
1519959871,183,183
1519963763,185,185
1519967564,186,186
1519971248,190,190
1519975018,196,196
1519978841,197,197
1519982938,203,203
1519986803,206,206
1519990630,211,211
1519994487,212,212
1520002123,212,212
1520005952,214,214
1520009786,216,216
1520013635,215,215
1520017483,216,216
1520021325,217,217
1520025424,217,217
1520029256,219,219
1520033095,220,220
1520036926,222,222
1520040776,225,225
1520044616,227,227
1520048468,230,230
1520052289,229,229
1520056189,229,229
1520059977,224,224
1520120558,218,218
1520124299,217,217
1520128428,216,216
1520132220,219,219
1520136078,220,220
1520139919,221,221
1520143775,223,223
1520147571,227,227
1520155511,229,229
1520159352,228,228
1520163209,229,229
1520167074,230,230
1520170862,230,230
1520174732,231,231
1520178605,234,234
1520182647,235,235
1520186491,239,239
1520190330,240,240
1520194136,240,240
1520197990,241,241
1520201833,240,240
1520206355,240,240
1520210462,239,239
1520214314,237,237
1520218140,236,236
1520225825,232,232
1520229742,232,232
1520233754,234,234
1520241440,230,230
1520245289,231,231
1520249101,229,229
1520252963,228,228
1520256798,230,230
1520260862,234,234
1520264689,236,236
1520268797,239,239
1520272670,237,237
1520276742,232,232
1520280575,232,232
1520284837,229,229
1520288701,228,228
1520292550,225,225
1520296386,224,224
1520300468,219,219
1520304313,223,223
1520308154,220,220
1520315863,219,219
1520319749,217,217
1520323523,215,215
1520327373,212,212
1520331199,212,212
1520335043,209,209
1520338869,211,211
1520342739,208,208
1520346550,206,206
1520350400,207,207
1520354460,204,204
1520362170,203,203
1520366401,203,203
1520370133,201,201
1520373961,200,200
1520377764,203,203
1520381620,202,202
1520385443,202,202
1520389266,206,206
1520393121,203,203
1520397015,201,201
1520400795,202,202
1520404659,204,204
1520408473,201,201
1520412342,200,200
1520416323,199,199
1520420042,198,198
1520423832,196,196
1520427694,192,192
1520431530,184,184
1520435346,185,185
1520439207,188,188
1520443038,185,185
1520446880,186,186
1520450734,188,188
1520454556,189,189
1520458402,190,190
1520462290,189,189
1520466186,190,190
1520474087,190,190
1520477892,191,191
1520481759,191,191
1520485566,191,191
1520489408,189,189
1520493294,191,191
1520497498,186,186
