DateTime,Entries,UniqueIPs
1519966615,450,450
1519970421,450,450
1519974258,446,446
1519978093,445,445
1519981945,430,430
1519985806,426,426
1519989644,409,409
1519993470,409,409
1519997308,408,408
1520001150,408,408
1520005004,390,390
1520008815,451,451
1520012659,451,451
1520016524,449,449
1520020333,450,450
1520024190,451,451
1520028031,451,451
1520031875,451,451
1520035734,451,451
1520039543,451,451
1520043645,450,450
1520047496,451,451
1520051306,451,451
1520055174,451,451
1520059010,451,451
1520119466,450,450
1520123312,450,450
1520127399,451,451
1520131232,439,439
1520135067,443,443
1520138919,450,450
1520142757,451,451
1520146580,450,450
1520150440,450,450
1520154265,449,449
1520158118,447,447
1520162205,439,439
1520166037,448,448
1520169874,451,451
1520173837,451,451
1520177552,449,449
1520181378,450,450
1520185085,450,450
1520188853,435,435
1520192930,431,431
1520196908,451,451
1520200838,451,451
1520204671,450,450
1520208528,450,450
1520212370,449,449
1520216207,451,451
1520220045,433,433
1520223873,445,445
1520227714,451,451
1520231809,451,451
1520235646,451,451
1520239480,451,451
1520243301,450,450
1520247164,451,451
1520250997,436,436
1520254852,451,451
1520258692,450,450
1520262768,451,451
1520266844,450,450
1520270697,451,451
1520274657,451,451
1520278348,451,451
1520282438,445,445
1520286269,440,440
1520290114,439,439
1520294221,449,449
1520298052,451,451
1520301889,451,451
1520305711,451,451
1520309563,450,450
1520313399,450,450
1520317240,441,441
1520321072,442,442
1520324913,449,449
1520328758,449,449
1520332471,449,449
1520336177,450,450
1520340293,450,450
1520344125,449,449
1520347972,450,450
1520352045,451,451
1520355890,451,451
1520359781,450,450
1520363802,450,450
1520367634,451,451
1520371496,451,451
1520375309,451,451
1520379173,451,451
1520383016,451,451
1520386857,451,451
1520390695,451,451
1520394534,444,444
1520398370,448,448
1520402208,451,451
1520406050,450,450
1520409884,451,451
1520413726,448,448
1520417807,422,422
1520421642,449,449
1520425486,449,449
1520429328,451,451
1520433151,445,445
1520437151,441,441
1520440837,442,442
1520444945,446,446
1520448776,446,446
1520452597,450,450
1520456456,451,451
1520460271,448,448
1520464111,450,450
1520467970,448,448
1520472055,449,449
1520475888,451,451
1520479717,449,449
1520483578,433,433
1520487399,450,450
1520491268,434,434
1520495288,449,449
1520499435,450,450
1520503864,449,449
1520507569,450,450
1520511412,445,445
1520515170,443,443
1520518840,434,434
1520522681,448,448
1520526782,438,438
1520530625,449,449
1520534672,448,448
1520538511,441,441
1520546455,449,449
1520550282,442,442
1520554150,448,448
1520557981,446,446
1520561799,444,444
1520565642,451,451
1520569471,450,450
1520573321,446,446
1520577184,445,445
1520580987,450,450
1520584822,448,448
1520588922,450,450
1520592787,449,449
1520596621,432,432
1520600433,445,445
1520604290,451,451
1520608118,450,450
1520611984,450,450
1520615809,450,450
1520619638,449,449
1520623488,448,448
1520627322,432,432
1520631174,447,447
1520635550,450,450
1520639433,451,451
1520643151,450,450
1520647250,450,450
1520651078,451,451
1520654948,448,448
1520658792,446,446
1520662600,450,450
1520666443,450,450
1520670264,451,451
1520674109,450,450
1520677982,449,449
1520681807,450,450
1520685635,439,439
1520689500,442,442
1520693328,451,451
1520701004,451,451
1520704834,450,450
1520708916,451,451
1520712765,451,451
1520716606,448,448
1520720685,440,440
1520724829,450,450
1520728604,450,450
1520732438,449,449
1520736529,445,445
1520740390,448,448
1520744181,446,446
1520748062,445,445
1520752125,441,441
1520755976,442,442
1520759808,447,447
1520763873,451,451
1520767720,449,449
1520771564,446,446
1520776217,445,445
1520779939,426,426
1520784092,448,448
1520787938,448,448
1520791722,446,446
1520795556,442,442
1520799408,443,443
1520803345,448,448
1520807079,448,448
1520810920,446,446
1520815042,445,445
1520818830,441,441
1520822671,441,441
1520826539,434,434
1520830351,431,431
1520834185,427,427
1520838030,421,421
1520841988,405,405
1520845948,402,402
1520849809,394,394
1520853627,422,422
1520857507,359,359
1520861316,350,350
1520865171,389,389
1520869026,396,396
1520872717,401,401
1520876610,393,393
1520880303,368,368
1520884120,331,331
1520888550,358,358
1520892547,342,342
1520896609,405,405
1520900444,449,449
1520904292,391,391
1520908005,390,390
1520911726,356,356
1520915593,344,344
1520919434,385,385
1520923248,449,449
1520927117,429,429
1520930934,350,350
1520938621,386,386
1520942450,390,390
1520946304,373,373
1520950153,349,349
1520953974,338,338
1520957818,371,371
1520961635,371,371
1520965582,327,327
1520969471,249,249
1520973195,249,249
1520977299,282,282
1520981249,339,339
1520985021,340,340
1520988918,361,361
1520992662,323,323
1520996559,325,325
1523183064,6,6
1523186917,27,27
1523190763,451,451
1523194587,451,451
1523198427,451,451
1523202269,449,449
1523206123,449,449
1523210001,448,448
1523213807,326,326
1523217647,344,344
1523221481,296,296
1523225333,230,230
1523229187,227,227
1523233007,298,298
1523237102,379,379
1523240937,445,445
1523244788,399,399
1523248599,398,398
1523252454,398,398
1523256284,318,318
1523260150,339,339
1523263966,337,337
1523267829,294,294
1523275507,235,235
1523279328,333,333
1523283185,380,380
1523287002,345,345
1523290848,286,286
1523294680,247,247
1523298532,237,237
1523302378,285,285
1523307045,399,399
1523310791,448,448
1523314846,451,451
1523318674,450,450
1523322517,364,364
1523326231,297,297
1523329997,344,344
1523333835,431,431
1523337645,318,318
1523341501,263,263
1523345335,294,294
1523349193,337,337
1523353031,336,336
1523356884,251,251
1523360677,269,269
1523364507,258,258
1523368620,353,353
1523372504,446,446
1523376303,343,343
1523380124,300,300
1523383979,245,245
1523388062,237,237
1523391920,363,363
1523395747,449,449
1523399819,450,450
1523403655,385,385
1523407496,265,265
1523411315,253,253
1523415187,359,359
1523419261,346,346
1523423087,351,351
1523426939,269,269
1523430778,248,248
1523434607,251,251
1523439054,450,450
1523443017,451,451
1523446829,450,450
1523450680,449,449
1523454509,443,443
1523458358,448,448
1523462195,449,449
1523466036,449,449
1523469877,449,449
1523473712,447,447
1523477559,449,449
1523481417,451,451
1523485235,448,448
1523489080,448,448
1523493165,448,448
1523496882,448,448
1523500941,449,449
1523504663,446,446
1523508516,444,444
1523512378,444,444
1523516187,449,449
1523520021,448,448
1523523867,444,444
1523527537,442,442
1523531559,439,439
1523535434,450,450
1523539236,445,445
1523543097,437,437
1523546904,433,433
