DateTime,AddedIPs,RemovedIPs
1519453217,2,2
1519457111,3,1
1519460952,2,0
1519468932,1,5
1519472761,0,2
1519480914,5,5
1519488803,6,1
1519492541,3,1
1519496558,0,1
1519500443,4,8
1519504332,3,1
1519513373,0,4
1519517456,1,3
1519521286,3,0
1519525083,2,0
1519528910,3,0
1519533034,0,2
1519541313,3,3
1519552750,2,5
1519556637,5,1
1519564224,7,2
1519568039,0,4
1519571910,1,2
1519576029,3,4
1519579787,2,1
1519583725,6,3
1519587566,2,4
1519592102,1,1
1519595861,0,7
1519600100,2,2
1519604128,4,2
1519612089,1,1
1519619725,7,4
1519627416,4,7
1519631264,1,1
1519634967,1,4
1519642670,8,0
1519650422,5,4
1519658095,2,0
1519662003,0,2
1519666094,1,3
1519669925,4,6
1519673637,3,2
1519677622,3,0
1519681328,1,3
1519689255,3,5
1519693153,2,4
1519700879,1,3
1519704688,1,1
1519708468,2,2
1519712334,1,0
1519716414,1,1
1519720294,1,1
1519724167,2,1
1519727915,0,1
1519731786,0,2
1519735870,4,1
1519748848,2,5
1519752631,2,2
1519756553,0,5
1519760367,10,2
1519764449,0,3
1519772103,9,9
1519775929,11,0
1519783724,0,20
1519787572,6,0
1519791418,2,0
1519795264,5,0
1519799108,4,2
1519803192,5,2
1519807032,0,1
1519810862,3,6
1519814696,7,7
1519818555,1,1
1519822371,2,3
1519826222,2,6
1519830079,2,1
1519837756,9,2
1519841677,4,3
1519845741,4,7
1519849489,2,2
1519853337,0,3
1519858154,2,7
1519862101,2,3
1519869664,0,2
1519873744,2,1
1519877682,2,0
1519885241,2,3
1519889074,3,2
1519892915,3,0
1519896782,1,2
1519900586,4,1
1519904446,2,2
1519908301,0,1
1519912134,1,1
1519916129,2,2
1519919952,1,4
1519923666,5,0
1519927738,3,2
1519931579,1,1
1519935411,3,4
1519939256,3,6
1519943115,1,0
1519947475,2,4
1519951224,0,2
1519955077,1,1
1519958904,0,4
1519962739,2,1
1519966620,0,2
1519970427,0,2
1519974263,2,0
1519978099,3,1
1519981950,2,0
1519989654,4,0
1519997317,0,1
1520001155,1,1
1520005008,2,2
1520008821,1,1
1520012667,2,2
1520016531,1,3
1520020341,3,0
1520024196,3,0
1520028042,3,2
1520031881,0,2
1520035743,4,2
1520039554,2,2
1520043654,1,1
1520047523,1,2
1520051320,1,3
1520055195,1,2
1520059018,1,3
1520119475,11,1
1520123328,4,0
1520127412,2,0
1520138944,1,0
1520142784,2,0
1520146597,1,3
1520158138,1,0
1520169898,4,0
1520173850,0,2
1520177560,1,0
1520181388,1,0
1520188873,1,0
1520192942,3,1
1520196935,5,0
1520200861,1,0
1520208538,2,0
1520212381,1,3
1520216219,1,5
1520220063,1,10
1520223887,2,4
1520227731,2,3
1520231838,1,1
1520235664,0,12
1520239492,1,5
1520243318,4,0
1520247179,1,0
1520251009,1,2
1520254884,2,1
1520258705,2,1
1520262779,1,1
1520266855,4,1
1520270721,0,6
1520274695,13,2
1520278362,4,4
1520282460,3,5
1520286282,3,3
1520290142,1,2
1520294258,2,8
1520298085,2,5
1520301910,6,7
1520305725,1,4
1520309575,5,1
1520313428,2,2
1520317257,4,1
1520321089,0,3
1520324931,0,2
1520328770,2,0
1520332483,1,3
1520336195,3,1
1520340313,1,4
1520344133,7,1
1520347982,5,2
1520352065,6,2
1520355903,2,5
1520363816,6,9
1520367651,1,2
1520371527,3,0
1520375336,2,3
1520379188,2,4
1520383035,2,2
1520386873,1,0
1520390721,0,3
1520394550,3,3
1520398398,4,1
1520402232,1,0
1520406082,0,2
1520413741,2,3
1520417820,0,2
1520421657,2,1
1520425508,3,5
1520429353,1,1
1520433171,3,0
1520437166,0,2
1520440865,3,1
