DateTime,AddedIPs,RemovedIPs
1522135981,0,1
1522139581,1,1
1522143182,0,3
1522147227,3,0
1522150381,0,1
1522153982,2,0
1522157581,0,2
1522161181,1,1
1522164782,1,2
1522168381,1,0
1522171981,1,2
1522175581,1,0
1522179181,1,0
1522182782,0,2
1522186381,1,0
1522189981,3,2
1522197181,0,1
1522200781,0,5
1522204381,2,1
1522207981,1,0
1522211581,2,1
1522215181,0,2
1522218781,1,1
1522222381,2,0
1522225981,2,1
1522229581,2,2
1522233181,5,0
1522236782,1,0
1522240381,3,7
1522251181,0,1
1522254781,2,5
1522261981,2,1
1522265581,3,4
1522269181,1,0
1522272781,1,1
1522276828,4,0
1522279981,0,1
1522283581,0,2
1522287182,1,0
1522290781,3,1
1522294381,1,2
1522297981,1,0
1522301581,0,4
1522305182,2,0
1522308781,2,6
1522312381,2,0
1522315981,2,0
1522319581,2,1
1522323181,0,3
1522326782,3,0
1522330381,2,4
1522333981,2,0
1522337581,1,0
1522341181,2,0
1522344781,2,2
1522348381,1,0
1522351981,1,2
1522355581,1,0
1522359182,1,3
1522362781,2,0
1522366381,2,0
1522369981,1,1
1522373581,1,2
1522377181,1,2
1522380781,3,0
1522384382,3,1
1522391581,1,0
1522395181,0,3
1522402381,2,3
1522409581,1,6
1522413181,2,3
1522420381,2,1
1522423981,2,2
1522427581,2,0
1522431181,1,3
1522434781,0,3
1522438381,2,0
1522441981,1,1
1522449181,1,2
1522452781,1,2
1522456381,1,0
1522459981,2,1
1522463581,1,2
1522467181,1,1
1522470781,2,1
1522474381,3,2
1522477981,1,1
1522481582,4,4
1522485181,2,2
1522488781,3,0
1522492381,1,2
1522499582,1,3
1522506782,3,0
1522510381,5,2
1522513981,1,3
1522517581,4,2
1522521181,2,0
1522524781,2,4
1522528381,1,0
1522535582,4,4
1522539627,2,1
1522542781,0,2
1522546381,0,1
1522549981,2,0
1522553581,2,1
1522557181,1,1
1522560782,3,1
1522564381,2,3
1522567981,0,2
1522571581,3,0
1522575181,0,2
1522578781,2,1
1522582381,0,3
1522585981,3,2
1522589581,4,0
1522593181,1,0
1522596781,0,5
1522600381,3,0
1522603982,3,2
1522607581,2,3
1522614781,0,1
1522618382,0,2
1522625581,1,0
1522629181,1,0
1522632781,1,3
1522636381,3,2
1522639981,1,0
1522643581,2,3
1522647181,4,0
1522650781,1,3
1522654381,3,0
1522657981,2,4
1522661581,3,3
1522665181,1,0
1522668781,2,0
1522672381,2,1
1522675981,3,0
1522679581,0,3
1522686781,1,4
1522690381,0,4
1522693981,1,0
1522697581,1,5
1522701181,3,0
1522704781,1,0
1522708381,0,4
1522711981,2,1
1522715581,0,5
1522719181,1,3
1522722781,1,0
1522726381,0,2
1522733581,1,5
1522737181,1,1
1522740781,2,1
1522744381,2,1
1522747981,0,2
1522751581,1,1
1522755181,2,0
1522758781,2,1
1522762381,0,2
1522765982,3,1
1522769581,6,0
1522773181,0,1
1522776781,0,2
1522783981,1,0
1522787581,0,1
1522791181,3,0
1522794781,3,1
1522798381,1,0
1522801981,1,2
1522805581,0,2
1522809181,2,4
1522812781,1,0
1522816381,1,2
1522819981,4,0
1522823581,0,1
1522827181,0,1
1522830781,1,0
1522837981,1,1
1522841581,0,2
1522845181,2,2
1522848781,0,3
1522855982,1,2
1522859581,1,5
1522866781,0,1
1522870381,1,0
1522873981,1,3
1522877581,1,2
1522888381,3,1
1522895581,2,0
1522899181,1,0
1522902781,2,2
1522906381,1,0
1522913581,1,0
1522917181,2,1
1522920781,1,0
1522924382,1,3
1522931581,2,0
1522935181,3,0
1522938781,1,2
1522942381,1,0
1522945981,3,2
1522949581,2,2
1522953181,1,0
1522956781,2,4
1522960382,0,1
1522963981,1,0
1522967581,1,1
1522971182,1,3
1522974781,2,2
1522978381,1,1
1522981981,0,2
1522985581,2,1
1522989181,0,1
1522992781,1,1
1522996381,2,0
1523003581,1,0
1523007181,1,1
1523010781,0,2
1523014381,4,2
1523017982,2,0
1523021581,2,7
1523025181,2,0
1523028781,1,5
1523035981,1,2
1523039581,1,0
1523046781,1,1
1523050381,1,0
1523053981,2,1
1523057581,0,2
1523061181,1,0
1523064781,1,1
1523068381,1,1
1523075581,1,2
1523079181,3,1
1523082781,2,0
1523086381,2,0
1523089982,1,0
1523093581,4,3
1523097181,5,0
1523100781,1,6
1523104381,3,0
1523107981,1,1
1523111581,0,3
1523115181,1,0
1523118781,2,1
1523122381,1,0
1523125981,4,0
1523129581,5,2
1523133181,1,0
1523136781,0,2
1523143981,1,4
1523151181,2,1
1523154781,2,1
1523158381,0,1
1523165581,2,2
1523169181,1,4
1523172781,1,0
1523176381,2,2
1523179981,0,2
1523190782,1,1
1523194381,2,4
1523197981,2,0
1523201581,1,0
1523205181,1,0
1523208781,2,1
1523212381,0,3
1523219581,1,1
1523223181,3,0
1523226781,3,7
1523233981,4,2
1523237581,1,0
1523241181,0,4
1523244781,3,1
1523248381,3,0
1523251982,1,2
1523255581,1,0
1523259181,0,4
1523262781,2,0
1523266381,3,1
1523269981,4,1
1523273581,0,1
1523277181,1,0
1523280781,1,1
1523284381,1,2
1523287981,1,0
1523291581,1,3
1523295181,1,2
1523298781,1,0
1523302382,1,5
1523305981,3,2
1523309581,2,4
1523313181,2,0
1523316781,0,2
1523320381,1,2
1523323981,0,3
1523327582,2,1
1523331181,1,0
1523334781,0,2
1523338381,3,0
1523341981,1,3
1523345581,1,0
1523349181,0,4
1523352781,1,1
1523356381,1,2
1523359981,2,0
1523363581,2,2
1523367181,3,0
1523370781,4,1
1523374381,7,2
1523377981,2,0
1523381581,2,1
1523385181,6,2
1523388781,2,0
1523392381,2,4
1523395981,1,0
1523399581,0,1
1523403181,3,1
1523406781,1,0
1523410381,0,2
1523421181,0,1
1523428381,4,1
1523435581,2,2
1523439181,1,2
1523446381,1,3
1523449981,0,8
1523453581,2,0
1523460781,1,2
1523464381,3,4
1523467981,3,4
1523471581,5,3
1523475181,4,3
1523478781,2,0
1523485981,5,0
1523489581,4,1
1523493181,0,7
1523496781,4,0
1523500381,0,1
1523503981,1,0
1523507581,3,1
1523511181,1,2
1523518381,1,3
1523525581,0,2
1523529181,0,2
1523532781,0,2
1523536382,0,3
1523539981,2,0
1523543581,2,2
1523550781,2,10
1523554381,1,0
1523557981,0,4
1523565181,1,3
1523568781,1,0
1523572381,1,7
1523579581,0,3
1523583181,0,2
1523590381,3,0
1523593981,3,1
1523601181,3,0
1523604782,3,0
1523608381,1,3
1523611981,1,2
1523619182,4,0
1523622781,3,0
1523629981,2,1
1523633581,0,1
1523640781,0,3
1523644381,2,0
1523651581,3,1
1523655181,0,3
1523659228,4,2
1523662381,0,2
1523665981,2,0
1523669581,0,2
1523673181,1,0
1523676781,3,2
1523680381,4,0
1523683981,0,3
1523687581,1,0
1523691181,1,3
1523698381,1,2
1523701981,0,5
1523705581,0,5
1523709181,2,0
1523712781,5,2
1523719981,1,3
1523723581,1,0
1523727181,2,3
1523730781,1,0
1523734381,0,1
1523737981,1,2
1523745181,4,1
1523752381,1,0
1523755981,0,1
1523759581,2,1
1523766781,3,2
1523770381,1,0
1523773981,1,0
1523777581,1,1
1523781181,1,3
1523784781,2,0
1523788381,2,0
1523791981,0,3
1523795581,4,0
1523799181,3,4
1523802781,5,4
1523809981,0,5
1523813581,2,1
1523820781,0,3
1523824381,1,0
1523827981,1,0
1523838781,0,2
1523842381,3,0
1523849581,0,1
1523853181,2,0
1523856781,1,1
1523863981,4,0
1523867582,4,1
1523871181,0,3
1523874781,2,1
1523881981,0,5
1523885582,5,0
1523889181,1,1
1523892781,2,1
1523896381,4,1
1523899981,2,1
1523903591,1,1
1523907181,1,0
1523910781,1,2
1523914381,2,0
1523917981,3,1
1523921581,1,0
1523925181,3,2
1523928781,0,3
1523932381,1,0
1523939581,1,2
1523943182,3,0
1523946781,0,2
1523950382,0,5
1523953981,1,0
1523957581,1,0
1523961182,0,1
1523968381,1,0
1523971981,2,7
1523975581,0,2
1523979181,1,4
1523982781,0,3
1523989981,2,2
1523997181,1,2
1524000781,2,0
1524004381,1,0
1524007981,0,5
1524011581,1,0
1524015181,1,1
1524022381,3,3
1524025981,2,1
1524029581,0,1
1524033181,2,0
1524036781,2,0
1524043981,1,0
1524047581,1,1
1524051181,3,1
1524054781,2,0
1524058381,0,4
1524061981,4,0
1524065581,4,5
1524069181,2,0
1524072781,0,3
1524076381,2,0
1524079981,1,5
1524087181,0,3
1524090781,1,0
1524094381,1,1
1524097981,4,0
1524101581,1,0
1524105182,0,2
1524108781,1,0
1524112381,0,3
1524119581,1,6
1524123181,0,0
1524130381,2,1
1524133982,3,2
1524137581,2,0
1524141182,0,2
1524144781,3,3
1524148381,1,2
1524155581,4,2
1524159181,2,1
1524162781,3,3
1524169981,1,1
1524173581,4,0
1524177181,1,0
1524180781,1,1
1524184381,1,1
1524187981,0,7
1524191581,2,0
1524195181,2,0
1524198781,2,1
1524202381,1,1
1524209581,1,0
1524216781,1,3
