DateTime,AddedIPs,RemovedIPs
1522272781,10,9
1522276828,13,12
1522283581,2,3
1522287182,9,10
1522290781,4,3
1522294381,8,8
1522297981,6,6
1522301581,4,4
1522305182,5,4
1522308781,7,7
1522312381,11,11
1522315981,7,6
1522319581,11,10
1522323181,7,9
1522326782,14,14
1522330381,10,10
1522333981,5,7
1522337581,10,11
1522341181,4,4
1522344781,10,9
1522348381,5,7
1522351981,10,8
1522355581,6,5
1522359182,5,6
1522362781,11,12
1522366381,7,8
1522369981,10,6
1522373581,4,4
1522377181,7,8
1522380781,4,5
1522384382,9,10
1522387981,5,4
1522391581,10,9
1522395181,8,9
1522398781,5,6
1522402381,9,9
1522405981,5,5
1522409581,10,10
1522413181,5,5
1522416781,4,5
1522420381,6,6
1522423981,9,10
1522427581,5,5
1522431181,9,9
1522434781,6,4
1522438381,9,8
1522441981,7,8
1522445581,6,5
1522449181,6,8
1522452781,7,7
1522456381,10,8
1522459981,9,11
1522463581,4,6
1522467181,7,8
1522470781,6,4
1522474381,11,8
1522477981,4,2
1522481582,7,8
1522485181,6,7
1522488781,6,7
1522492381,9,10
1522495981,8,8
1522499582,5,4
1522503181,10,9
1522506782,4,3
1522510381,14,14
1522513981,6,6
1522517581,9,7
1522521181,5,5
1522524781,9,11
1522528381,7,7
1522531981,9,7
1522535582,7,8
1522539627,15,11
1522546381,7,8
1522549981,7,11
1522553581,5,5
1522557181,10,10
1522560782,4,3
1522564381,10,10
1522567981,6,6
1522571581,7,6
1522575181,5,6
1522578781,5,5
1522582381,7,8
1522585981,5,5
1522589581,12,11
1522593181,10,10
1522596781,7,7
1522600381,9,9
1522603982,11,11
1522607581,11,11
1522611181,8,6
1522614781,9,11
1522618382,6,5
1522621981,9,12
1522625581,7,5
1522629181,11,10
1522632781,5,6
1522636381,6,7
1522639981,7,9
1522643581,5,4
1522647181,13,12
1522650781,8,9
1522654381,8,7
1522657981,6,8
1522661581,11,8
1522665181,7,6
1522668781,4,4
1522672381,8,8
1522675981,8,10
1522679581,4,4
1522683181,7,7
1522686781,5,4
1522690381,3,4
1522693981,7,7
1522697581,7,9
1522701181,7,5
1522704781,12,9
1522708381,5,6
1522711981,10,9
1522715581,5,6
1522719181,7,9
1522722781,4,4
1522726381,6,6
1522729981,4,5
1522733581,3,5
1522737181,11,7
1522740781,6,5
1522744381,6,8
1522747981,5,3
1522751581,8,6
1522755181,7,8
1522758781,11,12
1522762381,2,2
1522765982,10,11
1522769581,13,9
1522773181,5,6
1522776781,6,9
1522780381,7,7
1522783981,9,9
1522787581,7,6
1522791181,10,8
1522794781,6,8
1522798381,8,7
1522801981,4,3
1522805581,7,10
1522809181,11,12
1522812781,4,3
1522816381,6,5
1522819981,5,7
1522823581,8,6
1522827181,5,6
1522830781,7,7
1522834381,9,9
1522837981,9,7
1522841581,8,11
1522845181,10,8
1522848781,6,6
1522852381,2,3
1522855982,10,9
1522859581,9,9
1522863181,7,7
1522866781,6,7
1522870381,11,10
1522873981,5,5
1522877581,6,8
1522881181,7,6
1522884781,9,9
1522888381,8,7
1522891981,4,7
1522895581,7,7
1522899181,7,5
1522902781,7,8
1522906381,2,1
1522909981,4,5
1522913581,4,4
1522917181,6,7
1522920781,6,6
1522924382,8,7
1522927981,11,11
1522931581,3,3
1522935181,11,9
1522938781,10,12
1522942381,9,10
1522945981,10,9
1522949581,12,14
1522953181,6,8
1522956781,10,8
1522960382,9,6
1522963981,3,3
1522967581,8,9
1522971182,6,6
1522974781,10,10
1522978381,10,9
1522985581,13,16
1522989181,5,6
1522992781,4,3
1522996381,7,6
1522999982,4,4
1523003581,10,8
1523007181,8,11
1523010781,8,8
1523014381,15,11
1523017982,8,9
1523021581,6,5
1523025181,5,5
1523028781,7,9
1523032381,6,5
1523035981,5,4
1523039581,4,5
1523043181,7,5
1523046781,10,13
1523050381,5,5
1523053981,10,8
1523057581,5,5
1523061181,11,13
1523064781,5,5
1523068381,9,10
1523071981,8,6
1523075581,6,7
1523079181,7,7
1523082781,14,11
1523086381,3,3
1523089982,9,10
1523093581,11,10
1523097181,10,7
1523100781,8,8
1523104381,10,11
1523107981,9,12
1523111581,5,4
1523115181,11,12
1523118781,7,7
1523122381,11,11
1523125981,11,9
1523129581,11,9
1523133181,7,7
1523136781,7,9
1523140381,6,9
1523143981,10,6
1523147581,8,11
1523151181,7,6
1523154781,14,16
1523158381,6,6
1523161981,8,7
1523165581,8,6
1523169181,8,9
1523172781,7,5
1523176381,9,7
1523179981,4,5
1523183581,7,9
1523187181,8,9
1523190782,5,5
1523194381,6,6
1523197981,9,8
1523201581,6,6
1523205181,7,9
1523208781,9,7
1523212381,10,10
1523215981,5,5
1523219581,11,13
1523223181,9,9
1523226781,9,11
1523230381,7,3
1523233981,12,12
1523237581,7,8
1523241181,5,7
1523244781,7,9
1523248381,10,6
1523251982,6,7
1523255581,8,10
1523259181,3,3
1523262781,9,11
1523266381,9,7
1523269981,14,9
1523273581,6,6
1523277181,7,11
1523280781,4,3
1523284381,7,9
1523287981,6,5
1523291581,9,10
1523295181,2,2
1523298781,8,6
1523302382,5,6
1523305981,13,12
1523309581,10,11
1523313181,6,6
1523316781,10,9
1523320381,8,7
1523323981,4,5
1523327582,5,6
1523331181,8,6
1523334781,5,5
1523338381,10,10
1523341981,10,9
1523345581,6,6
1523349181,10,10
1523352781,7,9
1523356381,12,9
1523359981,8,8
1523363581,8,9
1523367181,10,9
1523370781,10,10
1523374381,14,15
1523377981,11,8
1523381581,12,11
1523385181,16,19
1523388781,6,6
1523392381,10,9
1523395981,9,8
1523399581,8,9
1523403181,15,18
1523406781,15,12
1523410381,9,8
1523413981,4,7
1523417581,5,5
1523421181,9,10
1523424781,7,5
1523428381,17,16
1523431981,8,6
1523435581,10,10
1523439181,6,8
1523442781,8,11
1523446381,6,5
1523449981,13,11
1523453581,6,8
1523457181,6,5
1523460781,6,4
1523464381,5,7
1523467981,11,12
1523471581,9,11
1523475181,13,11
1523478781,9,10
1523485981,15,16
1523489581,9,6
1523496781,13,15
1523500381,5,6
1523503981,8,6
1523507581,9,9
1523511181,5,4
1523518381,6,9
1523521981,8,9
1523529181,14,13
1523532781,10,7
1523539981,10,12
1523543581,11,14
1523550781,14,14
1523554381,8,7
1523557981,10,10
1523565181,12,9
1523568781,11,10
1523572381,5,9
1523575981,7,6
1523579581,9,8
1523583181,9,9
1523590381,10,12
1523593981,14,12
1523601181,7,7
1523604782,15,13
1523608381,11,12
1523611981,7,7
1523619182,17,15
1523622781,15,18
1523629981,12,12
1523633581,14,11
1523637181,5,6
1523644381,9,8
1523651581,13,15
1523655181,7,9
1523659228,12,8
1523665981,11,12
1523669581,4,3
1523673181,5,7
1523676781,4,4
1523680381,8,7
1523683981,5,6
1523687581,7,8
1523691181,10,9
1523694782,10,8
1523698381,5,7
1523701981,8,7
1523709181,9,11
1523712781,20,19
1523719981,13,13
1523723581,9,9
1523727181,9,10
1523730781,7,7
1523734381,12,12
1523737981,9,9
1523745181,12,10
1523752381,6,8
1523755981,6,3
1523759581,10,10
1523766781,8,9
1523770381,10,11
1523773981,8,10
1523777581,7,7
1523781181,6,5
1523784781,9,8
1523788381,8,9
1523795581,11,9
1523799181,9,10
1523802781,14,18
1523806381,9,7
1523809981,7,6
1523813581,6,8
1523820781,9,8
1523824381,13,11
1523827981,7,6
1523835181,12,9
1523838781,7,8
1523842381,8,11
1523845982,13,16
1523853181,5,8
1523856781,17,9
1523863981,8,9
1523867582,13,16
1523871181,8,6
1523874781,7,9
1523881981,14,12
1523885582,12,13
1523889181,9,8
1523892781,8,11
1523896381,13,7
1523899981,15,19
1523903591,11,9
1523907181,3,4
1523910781,12,13
1523914381,10,8
1523917981,14,9
1523921581,8,13
1523925181,11,10
1523932381,12,12
1523935981,6,7
1523939581,11,11
1523943182,11,13
1523946781,7,7
1523950382,14,11
1523953981,5,6
1523957581,10,9
1523961182,6,6
1523968381,15,14
1523971981,9,9
1523975581,13,16
1523979181,11,11
1523982781,10,10
1523989981,17,18
1523997181,17,15
1524000781,6,8
1524004381,11,10
1524011581,5,5
1524015181,7,9
1524018781,12,11
1524022381,8,8
1524025981,6,5
1524029581,5,7
1524033181,8,8
1524036781,9,7
1524043981,7,7
1524047581,11,9
1524051181,12,13
1524054781,9,10
1524061981,11,13
1524065581,15,14
1524069181,10,10
1524072781,9,6
1524076381,5,7
1524079981,5,6
1524083581,8,9
1524087181,10,9
1524090781,7,5
1524094381,7,8
1524097981,12,13
1524101581,8,8
1524105182,6,6
1524108781,6,5
1524112381,7,5
1524119581,11,14
1524123181,4,5
1524130381,5,4
1524133982,15,12
1524137581,8,9
1524141182,7,8
1524144781,9,10
1524148381,6,6
1524155581,13,13
1524159181,8,12
1524162781,20,11
1524169981,6,5
1524173581,10,15
1524177181,5,5
1524180781,7,6
1524184381,9,8
1524191581,8,7
1524195181,8,9
1524198781,9,9
1524202381,8,10
1524205981,8,8
1524209581,8,10
1524216781,9,8
